dataset,model,class,metric,point,lo_95,hi_95,n
nsl_kdd_v2,rf_5class_cw,Normal,brier_per_class,0.20600099689006568,0.2007589669296119,0.21156400803071435,22544
nsl_kdd_v2,rf_5class_cw,DoS,brier_per_class,0.06598666781438144,0.06306066056049942,0.06931736271292037,22544
nsl_kdd_v2,rf_5class_cw,Probe,brier_per_class,0.042284644834950286,0.03982113109829085,0.04469014744600861,22544
nsl_kdd_v2,rf_5class_cw,R2L,brier_per_class,0.121885526140617,0.1174868936431259,0.1262261254179737,22544
nsl_kdd_v2,rf_5class_cw,U2R,brier_per_class,0.0028033951942179423,0.0021407288624319095,0.0035558674642620783,22544
nsl_kdd_v2,rf_5class_cw,OVERALL,ece_top_label,0.2166570195837613,0.211094650680457,0.22211058443151152,22544
nsl_kdd_v2,xgb_5class_cw,Normal,brier_per_class,0.18527500014405104,0.18021931842728367,0.19072616239832924,22544
nsl_kdd_v2,xgb_5class_cw,DoS,brier_per_class,0.061168819563864205,0.058166843832767906,0.06441824359383885,22544
nsl_kdd_v2,xgb_5class_cw,Probe,brier_per_class,0.04029083223985692,0.03783995803537898,0.042564457230089545,22544
nsl_kdd_v2,xgb_5class_cw,R2L,brier_per_class,0.11092624922056853,0.10664872270992393,0.11505299838065579,22544
nsl_kdd_v2,xgb_5class_cw,U2R,brier_per_class,0.0025655001564656244,0.001931505720155962,0.0032713350671504104,22544
nsl_kdd_v2,xgb_5class_cw,OVERALL,ece_top_label,0.19645057676387773,0.191192360192926,0.20228874382128006,22544
nsl_kdd_v2,dnn_5class_cw,Normal,brier_per_class,0.19375535850299308,0.1887630623489647,0.1989474303766908,22544
nsl_kdd_v2,dnn_5class_cw,DoS,brier_per_class,0.06877958107154963,0.06578794194660768,0.07213871976654779,22544
nsl_kdd_v2,dnn_5class_cw,Probe,brier_per_class,0.04335048246644198,0.04085348042542602,0.04577060506021272,22544
nsl_kdd_v2,dnn_5class_cw,R2L,brier_per_class,0.11657422915851896,0.11237967245513565,0.12080941093467587,22544
nsl_kdd_v2,dnn_5class_cw,U2R,brier_per_class,0.0048174815551458175,0.004159217568834636,0.0055229290864544445,22544
nsl_kdd_v2,dnn_5class_cw,OVERALL,ece_top_label,0.189483450362135,0.18444163792114246,0.19529920461177133,22544
nsl_kdd_v2,rf_5class_smote,Normal,brier_per_class,0.19951456545096893,0.1945987744894781,0.20500182546215864,22544
nsl_kdd_v2,rf_5class_smote,DoS,brier_per_class,0.06460658217450305,0.06164581209824633,0.06786065810993874,22544
nsl_kdd_v2,rf_5class_smote,Probe,brier_per_class,0.03719265641989587,0.03492874099843749,0.03929489450820038,22544
nsl_kdd_v2,rf_5class_smote,R2L,brier_per_class,0.11923911187797644,0.1148058037585448,0.1235155756508186,22544
nsl_kdd_v2,rf_5class_smote,U2R,brier_per_class,0.0028181662770432204,0.002144074047431472,0.003507419541008814,22544
nsl_kdd_v2,rf_5class_smote,OVERALL,ece_top_label,0.1941099127600889,0.1891618928737369,0.19996041732219144,22544
nsl_kdd_v2,xgb_5class_smote,Normal,brier_per_class,0.1833820872759833,0.17839901485369863,0.18866102169177934,22544
nsl_kdd_v2,xgb_5class_smote,DoS,brier_per_class,0.0634713248555151,0.060509669189767974,0.06676763446210825,22544
nsl_kdd_v2,xgb_5class_smote,Probe,brier_per_class,0.039657361580466434,0.03734375845692252,0.04185609120755377,22544
nsl_kdd_v2,xgb_5class_smote,R2L,brier_per_class,0.11323537316754265,0.1088769663912628,0.11725036351358561,22544
nsl_kdd_v2,xgb_5class_smote,U2R,brier_per_class,0.0024736420642280563,0.0018708462038942958,0.003139260237847365,22544
nsl_kdd_v2,xgb_5class_smote,OVERALL,ece_top_label,0.19198318981189444,0.18659558671859083,0.19754490192085264,22544
nsl_kdd_v2,dnn_5class_smote,Normal,brier_per_class,0.197907293526201,0.19283092861466244,0.2032195652299305,22544
nsl_kdd_v2,dnn_5class_smote,DoS,brier_per_class,0.06526610362648613,0.062263430201057075,0.06857228500193965,22544
nsl_kdd_v2,dnn_5class_smote,Probe,brier_per_class,0.04868250225003254,0.04600148995947204,0.051303044111468535,22544
nsl_kdd_v2,dnn_5class_smote,R2L,brier_per_class,0.12110862391778257,0.11685174013202801,0.12543124379762,22544
nsl_kdd_v2,dnn_5class_smote,U2R,brier_per_class,0.0034751037129066246,0.0027956732710663714,0.004202367659946317,22544
nsl_kdd_v2,dnn_5class_smote,OVERALL,ece_top_label,0.20670742689875787,0.20127445340974184,0.21242247268774347,22544
unsw_nb15_v2,rf_5class_cw,Normal,brier_per_class,0.11362538309852584,0.11198722232279996,0.11530417198220579,63461
unsw_nb15_v2,rf_5class_cw,DoS,brier_per_class,0.045756226258305305,0.04473999079623246,0.04680801390753072,63461
unsw_nb15_v2,rf_5class_cw,Probe,brier_per_class,0.02684272670810151,0.025868444086707475,0.02773241073531971,63461
unsw_nb15_v2,rf_5class_cw,R2L,brier_per_class,0.1486034231733166,0.14712858094508047,0.1501699644946999,63461
