dataset,model,architecture,mean_jaccard,lo_95,hi_95,n
cic_ids2017_v2,dnn_5class_cw,dnn,0.6551457888516713,0.6485715016601046,0.6618569201223613,3000
cic_ids2017_v2,dnn_5class_smote,dnn,0.5041476878241584,0.4979225768920622,0.509836973592856,3000
cic_ids2017_v2,rf_5class_cw,rf,0.3316806737007975,0.32533713756502064,0.3377930084986393,3000
cic_ids2017_v2,rf_5class_smote,rf,0.3753199393199393,0.3699785803521098,0.38026903305028303,3000
cic_ids2017_v2,xgb_5class_cw,xgb,0.5819960594960595,0.5774252684815185,0.5864868048618049,3000
cic_ids2017_v2,xgb_5class_smote,xgb,0.4965707005412887,0.49280216103341096,0.5009065254190254,3000
nsl_kdd_v2,dnn_5class_cw,dnn,0.6026574128485893,0.597784367307529,0.6077111762012498,3000
nsl_kdd_v2,dnn_5class_smote,dnn,0.6125826281561576,0.6072075975903182,0.6181911555764498,3000
nsl_kdd_v2,rf_5class_cw,rf,0.7025276945276945,0.69753494005994,0.7073908313908314,3000
nsl_kdd_v2,rf_5class_smote,rf,0.571739676989677,0.5670436785436785,0.5764318605006105,3000
nsl_kdd_v2,xgb_5class_cw,xgb,0.6950658230658231,0.6904284881784881,0.6998042513042514,3000
nsl_kdd_v2,xgb_5class_smote,xgb,0.632090208810797,0.6275368346930847,0.636396300921301,3000
unsw_nb15_v2,dnn_5class_cw,dnn,0.5943156092273739,0.5894292319200407,0.5998442299122447,3000
unsw_nb15_v2,dnn_5class_smote,dnn,0.5642555227996404,0.5589433485223927,0.5699862794612794,3000
unsw_nb15_v2,rf_5class_cw,rf,0.5039664333487862,0.497061477248242,0.5099641396321543,3000
unsw_nb15_v2,rf_5class_smote,rf,0.5237417810947222,0.5180857702346672,0.529605311151267,3000
unsw_nb15_v2,xgb_5class_cw,xgb,0.5063328909652438,0.5011142260517261,0.5111992533202091,3000
unsw_nb15_v2,xgb_5class_smote,xgb,0.4815724275724275,0.47635749887367534,0.4864591760771908,3000
