protocol,metric,dataset,model,point,ci_low,ci_high,n_bootstrap_valid,wilson_ci_low,wilson_ci_high,n_total,n_red
strict,scts_correctness_pearson,cic_ids2017_v2,dnn_5class_cw,0.45785509157630633,0.3986488878726959,0.5121127367019653,1000,,,,
strict,scts_correctness_pearson,cic_ids2017_v2,dnn_5class_smote,0.4543637626132002,0.3387232720851898,0.5618037581443787,1000,,,,
strict,scts_correctness_pearson,cic_ids2017_v2,rf_5class_cw,0.29137825848272975,0.15434470772743225,0.3969476521015167,1000,,,,
strict,scts_correctness_pearson,cic_ids2017_v2,rf_5class_smote,0.2851128242786785,0.17875707149505615,0.3653785288333893,1000,,,,
strict,scts_correctness_pearson,cic_ids2017_v2,xgb_5class_cw,0.2684820509408442,0.1343221217393875,0.38526225090026855,995,,,,
strict,scts_correctness_pearson,cic_ids2017_v2,xgb_5class_smote,0.3414231645130247,0.19949929416179657,0.45009303092956543,999,,,,
strict,scts_correctness_pearson,unsw_nb15_v2,dnn_5class_smote,0.4828501319141637,0.43339890241622925,0.5318120121955872,1000,,,,
strict,scts_correctness_pearson,unsw_nb15_v2,rf_5class_cw,0.4482407167340817,0.40434738993644714,0.4974653124809265,1000,,,,
strict,scts_correctness_pearson,unsw_nb15_v2,rf_5class_smote,0.4845764934387374,0.43336495757102966,0.5404911041259766,1000,,,,
strict,scts_correctness_pearson,unsw_nb15_v2,xgb_5class_cw,0.4801689592261352,0.427839457988739,0.534911572933197,1000,,,,
strict,scts_correctness_pearson,unsw_nb15_v2,xgb_5class_smote,0.49905435584995367,0.4452768564224243,0.5539650917053223,1000,,,,
strict,per_flag_mean_pearson,all,green,0.45784633812593645,0.3756014910139558,0.5156259174049412,1000,,,,
strict,per_flag_mean_pearson,all,amber,0.2493516672021093,0.19200438079325582,0.32900577325057767,1000,,,,
strict,per_flag_mean_pearson,all,red,0.3360292616489592,0.2755589199515509,0.3890473694021958,1000,,,,
strict,green_red_pearson_gap,all,all,0.12181707647697726,0.014830707426462014,0.2075593872514271,1000,,,,
strict,r2l_red_catch_rate,unsw_nb15_v2,all,0.013333333333333334,0.0075,0.01918749999999998,1000,0.008223554250972865,0.021549133451462407,1200.0,16.0
strict,r2l_red_catch_rate,cic_ids2017_v2,all,0.050833333333333335,0.03916666666666667,0.06333333333333334,1000,0.03977573313142865,0.06475762075831897,1200.0,61.0
