dataset,model,rep,method,level,selected_frac_of_window,realised_recall,has_recall_lower_bound
nsl_kdd_v2,rf_5class_cw,0,fixed_risk_crc,0.05,0.23713626685592618,0.4151415610824339,False
nsl_kdd_v2,rf_5class_cw,0,dual_threshold_deferral,0.05,0.23713626685592618,0.4151415610824339,False
nsl_kdd_v2,rf_5class_cw,0,fixed_risk_crc,0.1,0.23713626685592618,0.4151415610824339,False
nsl_kdd_v2,rf_5class_cw,0,dual_threshold_deferral,0.1,0.23713626685592618,0.4151415610824339,False
nsl_kdd_v2,rf_5class_cw,0,fixed_risk_crc,0.2,0.23713626685592618,0.4151415610824339,False
nsl_kdd_v2,rf_5class_cw,0,dual_threshold_deferral,0.2,0.23713626685592618,0.4151415610824339,False
nsl_kdd_v2,rf_5class_cw,0,conformal_selection_fdr,0.05,0.5772711142654364,0.9288284060691381,False
nsl_kdd_v2,rf_5class_cw,0,conformal_selection_fdr,0.1,0.6150638750887154,0.9801345221335837,False
nsl_kdd_v2,rf_5class_cw,0,conformal_selection_fdr,0.2,0.6299680624556423,0.9859221022993899,False
nsl_kdd_v2,rf_5class_cw,1,fixed_risk_crc,0.05,0.24015259048970902,0.4150680693069307,False
nsl_kdd_v2,rf_5class_cw,1,dual_threshold_deferral,0.05,0.24015259048970902,0.4150680693069307,False
nsl_kdd_v2,rf_5class_cw,1,fixed_risk_crc,0.1,0.24015259048970902,0.4150680693069307,False
nsl_kdd_v2,rf_5class_cw,1,dual_threshold_deferral,0.1,0.24015259048970902,0.4150680693069307,False
nsl_kdd_v2,rf_5class_cw,1,fixed_risk_crc,0.2,0.24015259048970902,0.4150680693069307,False
nsl_kdd_v2,rf_5class_cw,1,dual_threshold_deferral,0.2,0.24015259048970902,0.4150680693069307,False
nsl_kdd_v2,rf_5class_cw,1,conformal_selection_fdr,0.05,0.5833037615330021,0.9317759900990099,False
nsl_kdd_v2,rf_5class_cw,1,conformal_selection_fdr,0.1,0.6203867991483322,0.9800433168316832,False
nsl_kdd_v2,rf_5class_cw,1,conformal_selection_fdr,0.2,0.636000709723208,0.9853032178217822,False
nsl_kdd_v2,rf_5class_cw,2,fixed_risk_crc,0.05,0.2450319375443577,0.4250465549348231,False
nsl_kdd_v2,rf_5class_cw,2,dual_threshold_deferral,0.05,0.2450319375443577,0.4250465549348231,False
nsl_kdd_v2,rf_5class_cw,2,fixed_risk_crc,0.1,0.23828956706884316,0.41449410304158907,False
nsl_kdd_v2,rf_5class_cw,2,dual_threshold_deferral,0.1,0.23828956706884316,0.41449410304158907,False
nsl_kdd_v2,rf_5class_cw,2,fixed_risk_crc,0.2,0.23828956706884316,0.41449410304158907,False
nsl_kdd_v2,rf_5class_cw,2,dual_threshold_deferral,0.2,0.23828956706884316,0.41449410304158907,False
nsl_kdd_v2,rf_5class_cw,2,conformal_selection_fdr,0.05,0.5903122782114976,0.9411855990068281,False
nsl_kdd_v2,rf_5class_cw,2,conformal_selection_fdr,0.1,0.6201206529453513,0.9795158286778398,False
nsl_kdd_v2,rf_5class_cw,2,conformal_selection_fdr,0.2,0.6354684173172462,0.9855679702048417,False
nsl_kdd_v2,rf_5class_cw,3,fixed_risk_crc,0.05,0.2485805535841022,0.4267506142506142,False
nsl_kdd_v2,rf_5class_cw,3,dual_threshold_deferral,0.05,0.2485805535841022,0.4267506142506142,False
