dataset,model,target_kind,rule,target,baseline_recall,final_recall,min_budget,frac_from_target_class_at_min,max_budget_tested,acc_delta,macro_f1_delta,ece_delta,tpcr,stealth_ok_at_min_budget,audit_acc_delta,audit_ece_delta
cic_ids2017_v2,dnn_5class_cw,fragile,block_greedy,R2L,0.23318385650224216,0.0,0.005024246363045543,0.9751243781094527,0.10000999850022496,-0.049616317144499655,-0.22483744507504683,0.10387571778590886,0.2711525483040468,True,-0.04966754986751987,0.1036962010106393
cic_ids2017_v2,dnn_5class_cw,fragile,block_greedy_stealth,R2L,0.23318385650224216,0.23318385650224216,,,0.002599610058491226,0.0,0.0,0.0018411585180466688,0.19339115654760416,False,0.0,0.000968871321763935
cic_ids2017_v2,dnn_5class_cw,fragile,highest_pt,R2L,0.23318385650224216,0.0,0.005024246363045543,0.9751243781094527,0.10000999850022496,-0.049616317144499655,-0.22483744507504683,0.10387571778590886,0.2711525483040468,True,-0.04966754986751987,0.1036962010106393
cic_ids2017_v2,dnn_5class_cw,fragile,random,R2L,0.23318385650224216,0.0,0.10000999850022496,0.028742814296425893,0.10000999850022496,-0.12695278326292891,-0.37579837457071674,0.08568791908220068,0.35081360761866676,False,-0.12803079538069284,0.08561703359336613
cic_ids2017_v2,dnn_5class_cw,stable,block_greedy,Probe,0.9933274021352313,0.0,0.10000999850022496,0.5611097225693576,0.10000999850022496,-0.05061614217511934,-0.2402561923127654,0.1504127528330491,0.2426825305571525,False,-0.05149227615857621,0.149707043775801
cic_ids2017_v2,dnn_5class_cw,stable,block_greedy_stealth,Probe,0.9933274021352313,0.9933274021352313,,,0.09241113832925062,-0.08273552128377526,-0.07006506306702909,0.07144545238997174,0.05129102407078761,False,-0.08236264560315953,0.07098051981917494
cic_ids2017_v2,dnn_5class_cw,stable,highest_pt,Probe,0.9933274021352313,0.0,0.10000999850022496,0.5611097225693576,0.10000999850022496,-0.05061614217511934,-0.2402561923127654,0.1504127528330491,0.2426825305571525,False,-0.05149227615857621,0.149707043775801
cic_ids2017_v2,dnn_5class_cw,stable,random,Probe,0.9933274021352313,0.9933274021352313,,,0.10000999850022496,-4.99912515309342e-05,-5.4407814795931486e-05,0.09482440713209575,0.19344114779913515,False,-2.499625056240351e-05,0.09580313230383301
cic_ids2017_v2,dnn_5class_smote,fragile,block_greedy,Probe,0.9079181494661922,0.0,0.05024246363045543,0.9995024875621891,0.10000999850022496,-0.0941835178843703,-0.23486339974950743,0.09928721487856436,0.15247331716949533,False,-0.09368594710793388,0.09700894692241166
cic_ids2017_v2,dnn_5class_smote,fragile,block_greedy_stealth,Probe,0.9079181494661922,0.9079181494661922,,,0.000549917512373144,0.0,0.0,-0.00015892026777991305,0.034343989801784686,False,0.0,-0.00019948228533853184
cic_ids2017_v2,dnn_5class_smote,fragile,highest_pt,Probe,0.9079181494661922,0.0,0.05024246363045543,1.0,0.10000999850022496,-0.0941835178843703,-0.23486339974950743,0.09928721487856436,0.15247331716949533,False,-0.09368594710793388,0.09700894692241166
cic_ids2017_v2,dnn_5class_smote,fragile,random,Probe,0.9079181494661922,0.0071174377224199285,0.10000999850022496,0.2944263934016496,0.10000999850022496,-0.14492463818831713,-0.4452788151958183,0.06889764483179701,0.20341440247956608,False,-0.144753287006949,0.06696600082039186
cic_ids2017_v2,dnn_5class_smote,stable,block_greedy,DoS,0.9830729166666666,0.0,0.10000999850022496,1.0,0.10000999850022496,-0.12605294073537132,-0.20354014121075825,0.10846318250154001,0.17314469967755644,False,-0.12595610658401246,0.10798850868773463
cic_ids2017_v2,dnn_5class_smote,stable,block_greedy_stealth,DoS,0.9830729166666666,0.9830729166666666,,,0.000549917512373144,0.0,0.0,-0.00015892026777991305,0.034343989801784686,False,0.0,-0.00019948228533853184
cic_ids2017_v2,dnn_5class_smote,stable,highest_pt,DoS,0.9830729166666666,0.0,0.10000999850022496,1.0,0.10000999850022496,-0.12605294073537132,-0.20354014121075825,0.10846551715587711,0.17314469967755644,False,-0.12595610658401246,0.10798889102507811
