Model,Class,n_calib,Strategy,Brier pre,Brier post,ECE pre,ECE post
rf_5class_smote,Normal,32152,isotonic,0.00155,0.00138,0.00294,0.00044
rf_5class_smote,DoS,5376,isotonic,0.00078,0.00062,0.00152,0.00031
rf_5class_smote,Probe,2248,isotonic,0.00038,0.00034,0.00053,0.00014
rf_5class_smote,R2L,223,isotonic,0.0004,0.00038,0.0012,0.00024
rf_5class_smote,U2R,7,platt,3e-05,5e-05,8e-05,5e-05
xgb_5class_smote,Normal,32152,isotonic,0.00108,0.00101,0.00104,0.00016
xgb_5class_smote,DoS,5376,isotonic,0.0005,0.00043,0.0005,0.00025
xgb_5class_smote,Probe,2248,isotonic,0.0003,0.0003,0.00025,0.00019
xgb_5class_smote,R2L,223,isotonic,0.0003,0.00027,0.00031,0.00015
xgb_5class_smote,U2R,7,platt,3e-05,3e-05,3e-05,2e-05
dnn_5class_smote,Normal,32152,isotonic,0.02854,0.01382,0.0326,0.00176
dnn_5class_smote,DoS,5376,isotonic,0.01081,0.00556,0.01193,0.00059
dnn_5class_smote,Probe,2248,isotonic,0.01045,0.0069,0.01011,0.00142
dnn_5class_smote,R2L,223,isotonic,0.00576,0.00047,0.00813,0.00025
dnn_5class_smote,U2R,7,platt,0.00066,0.00017,0.00244,3e-05
rf_5class_cw,Normal,32152,isotonic,0.00148,0.00141,0.00161,0.00069
rf_5class_cw,DoS,5376,isotonic,0.00079,0.00071,0.00134,0.0003
rf_5class_cw,Probe,2248,isotonic,0.0004,0.00035,0.00045,0.00023
rf_5class_cw,R2L,223,isotonic,0.0003,0.00033,0.0004,0.00022
rf_5class_cw,U2R,7,platt,4e-05,0.00017,8e-05,2e-05
xgb_5class_cw,Normal,32152,isotonic,0.00089,0.00084,0.00079,0.00026
xgb_5class_cw,DoS,5376,isotonic,0.00036,0.00035,0.00033,0.00027
xgb_5class_cw,Probe,2248,isotonic,0.0003,0.00031,0.00027,0.00018
xgb_5class_cw,R2L,223,isotonic,0.00026,0.00022,0.00027,0.00026
xgb_5class_cw,U2R,7,platt,2e-05,2e-05,4e-05,2e-05
dnn_5class_cw,Normal,32152,isotonic,0.15334,0.04726,0.2664,0.00172
dnn_5class_cw,DoS,5376,isotonic,0.03192,0.02167,0.05845,0.00166
dnn_5class_cw,Probe,2248,isotonic,0.01362,0.00921,0.03073,0.00053
dnn_5class_cw,R2L,223,isotonic,0.05774,0.00385,0.12067,0.00042
dnn_5class_cw,U2R,7,platt,0.00628,0.00017,0.05655,3e-05
