Model,Class,n_calib,Brier pre,Brier dirichlet,Delta,Brier hybrid,Hybrid strategy,Winner
rf_5class_smote,Normal,32152,0.00155,0.00171,0.00015,0.00138,isotonic,hybrid
rf_5class_smote,DoS,5376,0.00078,0.00073,-5e-05,0.00062,isotonic,hybrid
rf_5class_smote,Probe,2248,0.00038,0.00047,9e-05,0.00034,isotonic,hybrid
rf_5class_smote,R2L,223,0.0004,0.00039,-1e-05,0.00038,isotonic,hybrid
rf_5class_smote,U2R,7,3e-05,0.00013,9e-05,5e-05,platt,pre
xgb_5class_smote,Normal,32152,0.00108,0.001,-7e-05,0.00101,isotonic,dirichlet
xgb_5class_smote,DoS,5376,0.0005,0.00044,-7e-05,0.00043,isotonic,hybrid
xgb_5class_smote,Probe,2248,0.0003,0.00032,3e-05,0.0003,isotonic,pre
xgb_5class_smote,R2L,223,0.0003,0.00025,-5e-05,0.00027,isotonic,dirichlet
xgb_5class_smote,U2R,7,3e-05,9e-05,6e-05,3e-05,platt,hybrid
dnn_5class_smote,Normal,32152,0.02854,0.01506,-0.01348,0.01382,isotonic,hybrid
dnn_5class_smote,DoS,5376,0.01081,0.00673,-0.00408,0.00556,isotonic,hybrid
dnn_5class_smote,Probe,2248,0.01045,0.00753,-0.00292,0.0069,isotonic,hybrid
dnn_5class_smote,R2L,223,0.00576,0.00067,-0.00509,0.00047,isotonic,hybrid
dnn_5class_smote,U2R,7,0.00066,0.00018,-0.00048,0.00017,platt,hybrid
rf_5class_cw,Normal,32152,0.00148,0.00162,0.00014,0.00141,isotonic,hybrid
rf_5class_cw,DoS,5376,0.00079,0.00077,-2e-05,0.00071,isotonic,hybrid
rf_5class_cw,Probe,2248,0.0004,0.00043,3e-05,0.00035,isotonic,hybrid
rf_5class_cw,R2L,223,0.0003,0.00033,3e-05,0.00033,isotonic,pre
rf_5class_cw,U2R,7,4e-05,0.00016,0.00011,0.00017,platt,pre
xgb_5class_cw,Normal,32152,0.00089,0.00085,-4e-05,0.00084,isotonic,hybrid
xgb_5class_cw,DoS,5376,0.00036,0.00035,-2e-05,0.00035,isotonic,dirichlet
xgb_5class_cw,Probe,2248,0.0003,0.00031,1e-05,0.00031,isotonic,pre
xgb_5class_cw,R2L,223,0.00026,0.0002,-6e-05,0.00022,isotonic,dirichlet
xgb_5class_cw,U2R,7,2e-05,0.0001,9e-05,2e-05,platt,hybrid
dnn_5class_cw,Normal,32152,0.15334,0.0383,-0.11503,0.04726,isotonic,dirichlet
dnn_5class_cw,DoS,5376,0.03192,0.0237,-0.00822,0.02167,isotonic,hybrid
dnn_5class_cw,Probe,2248,0.01362,0.0097,-0.00393,0.00921,isotonic,hybrid
dnn_5class_cw,R2L,223,0.05774,0.00482,-0.05292,0.00385,isotonic,hybrid
dnn_5class_cw,U2R,7,0.00628,0.00018,-0.00611,0.00017,platt,hybrid
