ds,model,dist_auroc,lo,hi,conf_auroc
nsl_kdd_v2,dnn_5class_cw,0.819,0.791,0.845,0.731
nsl_kdd_v2,dnn_5class_smote,0.824,0.796,0.85,0.729
nsl_kdd_v2,rf_5class_cw,0.823,0.796,0.849,0.737
nsl_kdd_v2,xgb_5class_cw,0.813,0.785,0.839,0.615
nsl_kdd_v2,rf_5class_smote,0.846,0.819,0.871,0.809
nsl_kdd_v2,xgb_5class_smote,0.807,0.779,0.834,0.65
unsw_nb15_v2,dnn_5class_cw,0.564,0.531,0.601,0.811
unsw_nb15_v2,dnn_5class_smote,0.584,0.552,0.621,0.819
unsw_nb15_v2,rf_5class_cw,0.595,0.561,0.633,0.845
unsw_nb15_v2,xgb_5class_cw,0.582,0.548,0.619,0.857
unsw_nb15_v2,rf_5class_smote,0.59,0.556,0.625,0.86
unsw_nb15_v2,xgb_5class_smote,0.588,0.552,0.624,0.858
cic_ids2017_v2,dnn_5class_cw,0.766,0.732,0.8,0.814
cic_ids2017_v2,dnn_5class_smote,0.685,0.597,0.766,0.873
cic_ids2017_v2,rf_5class_cw,0.745,0.588,0.888,0.826
cic_ids2017_v2,xgb_5class_cw,0.509,0.078,0.885,0.918
cic_ids2017_v2,rf_5class_smote,0.794,0.66,0.923,0.903
cic_ids2017_v2,xgb_5class_smote,0.675,0.382,0.908,0.911
