dataset,worst_class,model,baseline,cell_n,cell_acc,conf_on_fail,cell_auroc,mean_trust_fail,mean_trust_ok,blind,red_catch
unsw_nb15_v2,1,rf_5class_cw,trust_score,200,0.01,0.571,0.043,2279476288.32,0.811,True,
unsw_nb15_v2,1,rf_5class_cw,max_softmax,200,0.01,0.571,0.811,0.571,0.643,False,
unsw_nb15_v2,1,rf_5class_cw,HEALTH_FLAG,200,0.01,,,,,,0.025
unsw_nb15_v2,1,xgb_5class_cw,trust_score,200,0.105,0.609,0.141,2521431871.885,0.978,True,
unsw_nb15_v2,1,xgb_5class_cw,max_softmax,200,0.105,0.609,0.447,0.609,0.623,False,
unsw_nb15_v2,1,xgb_5class_cw,HEALTH_FLAG,200,0.105,,,,,,0.02
unsw_nb15_v2,1,dnn_5class_cw,trust_score,200,0.02,0.601,0.536,2302736250.441,1.62,True,
unsw_nb15_v2,1,dnn_5class_cw,max_softmax,200,0.02,0.601,0.673,0.601,0.604,False,
unsw_nb15_v2,1,dnn_5class_cw,mc_dropout,200,0.02,0.601,0.952,-0.9700000286102295,-0.6359999775886536,False,
unsw_nb15_v2,1,dnn_5class_cw,HEALTH_FLAG,200,0.02,,,,,,0.025
unsw_nb15_v2,1,rf_5class_smote,trust_score,200,0.015,0.578,0.037,2291047233.937,0.757,True,
unsw_nb15_v2,1,rf_5class_smote,max_softmax,200,0.015,0.578,0.826,0.578,0.72,False,
unsw_nb15_v2,1,rf_5class_smote,HEALTH_FLAG,200,0.015,,,,,,0.03
unsw_nb15_v2,1,xgb_5class_smote,trust_score,200,0.07,0.595,0.119,2426539274.37,0.752,True,
unsw_nb15_v2,1,xgb_5class_smote,max_softmax,200,0.07,0.595,0.641,0.595,0.68,False,
unsw_nb15_v2,1,xgb_5class_smote,HEALTH_FLAG,200,0.07,,,,,,0.025
unsw_nb15_v2,1,dnn_5class_smote,trust_score,200,0.04,0.595,0.273,2350709922.311,1.179,True,
unsw_nb15_v2,1,dnn_5class_smote,max_softmax,200,0.04,0.595,0.824,0.595,0.678,False,
unsw_nb15_v2,1,dnn_5class_smote,mc_dropout,200,0.04,0.595,0.945,-0.9319999814033508,-0.5550000071525574,False,
unsw_nb15_v2,1,dnn_5class_smote,HEALTH_FLAG,200,0.04,,,,,,0.025
cic_ids2017_v2,3,rf_5class_cw,trust_score,200,0.955,0.83,0.877,7.208,25117573112.791,False,
cic_ids2017_v2,3,rf_5class_cw,max_softmax,200,0.955,0.83,0.654,0.83,0.986,False,
cic_ids2017_v2,3,rf_5class_cw,HEALTH_FLAG,200,0.955,,,,,,0.955
cic_ids2017_v2,3,xgb_5class_cw,trust_score,200,0.975,0.967,0.879,6.043,24602340843.813,False,
cic_ids2017_v2,3,xgb_5class_cw,max_softmax,200,0.975,0.967,0.921,0.967,0.997,False,
cic_ids2017_v2,3,xgb_5class_cw,HEALTH_FLAG,200,0.975,,,,,,1.0
cic_ids2017_v2,3,dnn_5class_cw,trust_score,200,0.23,0.814,0.995,0.595,33124531478.247,False,
cic_ids2017_v2,3,dnn_5class_cw,max_softmax,200,0.23,0.814,0.078,0.814,0.743,True,
cic_ids2017_v2,3,dnn_5class_cw,mc_dropout,200,0.23,0.814,0.902,-0.7720000147819519,-0.5899999737739563,False,
cic_ids2017_v2,3,dnn_5class_cw,HEALTH_FLAG,200,0.23,,,,,,0.23
cic_ids2017_v2,3,rf_5class_smote,trust_score,200,0.975,0.958,0.908,4.051,24602340843.812,False,
cic_ids2017_v2,3,rf_5class_smote,max_softmax,200,0.975,0.958,0.549,0.958,0.985,False,
cic_ids2017_v2,3,rf_5class_smote,HEALTH_FLAG,200,0.975,,,,,,0.025
cic_ids2017_v2,3,xgb_5class_smote,trust_score,200,0.975,0.948,0.88,5.935,24602340843.813,False,
cic_ids2017_v2,3,xgb_5class_smote,max_softmax,200,0.975,0.948,0.932,0.948,0.997,False,
cic_ids2017_v2,3,xgb_5class_smote,HEALTH_FLAG,200,0.975,,,,,,1.0
cic_ids2017_v2,3,dnn_5class_smote,trust_score,200,0.955,0.98,0.885,6.581,25117573112.79,False,
cic_ids2017_v2,3,dnn_5class_smote,max_softmax,200,0.955,0.98,0.771,0.98,0.985,False,
cic_ids2017_v2,3,dnn_5class_smote,mc_dropout,200,0.955,0.98,0.821,-0.492000013589859,-0.05700000002980232,False,
cic_ids2017_v2,3,dnn_5class_smote,HEALTH_FLAG,200,0.955,,,,,,0.0
