model,baseline,r2l_n,r2l_acc,r2l_auroc,mean_trust_fail,mean_trust_ok,blind,red_catch
rf_5class_cw,trust_score,213,0.052,0.035,13.511,0.806,True,
rf_5class_cw,max_softmax,213,0.052,0.022,0.98,0.693,True,
rf_5class_cw,HEALTH_FLAG,213,0.052,,,,,0.948
xgb_5class_cw,trust_score,213,0.061,0.028,13.589,0.694,True,
xgb_5class_cw,max_softmax,213,0.061,0.133,0.962,0.929,True,
xgb_5class_cw,HEALTH_FLAG,213,0.061,,,,,0.939
dnn_5class_cw,trust_score,213,0.066,0.044,13.744,1.098,True,
dnn_5class_cw,max_softmax,213,0.066,0.111,0.929,0.688,True,
dnn_5class_cw,mc_dropout,213,0.066,0.495,-0.42800000309944153,-0.30799999833106995,False,
dnn_5class_cw,HEALTH_FLAG,213,0.066,,,,,0.93
rf_5class_smote,trust_score,213,0.009,0.071,13.006,1.117,True,
rf_5class_smote,max_softmax,213,0.009,0.164,0.961,0.808,True,
rf_5class_smote,HEALTH_FLAG,213,0.009,,,,,0.991
xgb_5class_smote,trust_score,213,0.099,0.02,13.972,0.536,True,
xgb_5class_smote,max_softmax,213,0.099,0.29,0.985,0.862,True,
xgb_5class_smote,HEALTH_FLAG,213,0.099,,,,,0.901
dnn_5class_smote,trust_score,213,0.066,0.045,13.613,0.774,True,
dnn_5class_smote,max_softmax,213,0.066,0.049,0.978,0.749,True,
dnn_5class_smote,mc_dropout,213,0.066,0.155,-0.14399999380111694,-0.41499999165534973,True,
dnn_5class_smote,HEALTH_FLAG,213,0.066,,,,,1.0
