dataset,variant,pair,k,class,FA,RA,SA,SRA,RC,PRA,class_idx,n_samples
nsl_kdd_v2,5class_cw,rf-xgb,5,aggregate,0.6410000000000021,0.25419999999999887,1.0,0.25419999999999887,0.6237999999999972,0.766599999999997,,
nsl_kdd_v2,5class_cw,rf-xgb,10,aggregate,0.7189000000000013,0.16059999999999947,1.0,0.16059999999999947,0.5749575757575761,0.7249111111111088,,
nsl_kdd_v2,5class_cw,rf-xgb,15,aggregate,0.7864666666666652,0.12666666666666726,1.0,0.12666666666666726,0.5961535714285708,0.7281428571428575,,
nsl_kdd_v2,5class_cw,rf-dnn,5,aggregate,0.3611999999999968,0.08840000000000055,0.943,0.08840000000000055,-0.11330000000000003,0.4591000000000003,,
nsl_kdd_v2,5class_cw,rf-dnn,10,aggregate,0.4591999999999993,0.06830000000000029,1.0,0.06830000000000029,-0.011296969696969701,0.5022444444444447,,
nsl_kdd_v2,5class_cw,rf-dnn,15,aggregate,0.5086666666666672,0.05546666666666711,1.0,0.05546666666666711,0.06859642857142859,0.5335523809523809,,
nsl_kdd_v2,5class_cw,xgb-dnn,5,aggregate,0.28899999999999837,0.05600000000000021,0.878,0.05600000000000021,-0.23320000000000013,0.40709999999999985,,
nsl_kdd_v2,5class_cw,xgb-dnn,10,aggregate,0.38650000000000007,0.04670000000000028,1.0,0.04670000000000028,-0.18590303030303054,0.43546666666666545,,
nsl_kdd_v2,5class_cw,xgb-dnn,15,aggregate,0.486066666666665,0.04246666666666686,1.0,0.04246666666666686,-0.11885357142857157,0.461447619047619,,
nsl_kdd_v2,5class_smote,rf-xgb,5,aggregate,0.6516000000000038,0.217399999999999,0.999,0.217399999999999,0.5027999999999992,0.7071999999999984,,
nsl_kdd_v2,5class_smote,rf-xgb,10,aggregate,0.7577999999999978,0.14639999999999917,1.0,0.14639999999999917,0.5591151515151507,0.7149111111111085,,
nsl_kdd_v2,5class_smote,rf-xgb,15,aggregate,0.79693333333333,0.11853333333333395,1.0,0.11853333333333395,0.6256749999999985,0.7373238095238087,,
nsl_kdd_v2,5class_smote,rf-dnn,5,aggregate,0.30559999999999765,0.0672000000000003,0.911,0.0672000000000003,0.027799999999999946,0.5126999999999994,,
nsl_kdd_v2,5class_smote,rf-dnn,10,aggregate,0.44949999999999957,0.056500000000000376,1.0,0.056500000000000376,0.03391515151515156,0.5147111111111113,,
nsl_kdd_v2,5class_smote,rf-dnn,15,aggregate,0.5449333333333363,0.0493333333333337,1.0,0.0493333333333337,0.07344642857142859,0.5304285714285716,,
nsl_kdd_v2,5class_smote,xgb-dnn,5,aggregate,0.3031999999999976,0.07180000000000039,0.902,0.07180000000000039,-0.12909999999999996,0.4467,,
nsl_kdd_v2,5class_smote,xgb-dnn,10,aggregate,0.3888999999999999,0.059400000000000425,1.0,0.059400000000000425,-0.06946666666666662,0.4781333333333336,,
nsl_kdd_v2,5class_smote,xgb-dnn,15,aggregate,0.49119999999999914,0.052466666666667085,1.0,0.052466666666667085,-0.023535714285714274,0.4974571428571433,,
nsl_kdd_v2,5class_cw,rf-xgb,5,Normal,0.7463601532567062,0.32030651340996236,0.9969987228607919,0.32030651340996236,0.7793103448275878,0.8325670498084309,0.0,261.0
nsl_kdd_v2,5class_cw,rf-xgb,5,DoS,0.5201612903225812,0.12096774193548371,0.9959677419354839,0.12096774193548371,0.4177419354838709,0.6649193548387092,1.0,248.0
nsl_kdd_v2,5class_cw,rf-xgb,5,Probe,0.6957345971563971,0.24644549763033172,1.0,0.24644549763033172,0.5436018957345973,0.724644549763034,2.0,211.0
nsl_kdd_v2,5class_cw,rf-xgb,5,R2L,0.609389671361501,0.15492957746478853,0.9847417840375585,0.15492957746478853,0.08967136150234749,0.5323943661971828,3.0,213.0
nsl_kdd_v2,5class_cw,rf-xgb,5,U2R,0.6656716417910449,0.22388059701492527,1.0,0.22388059701492527,0.32686567164179114,0.6268656716417911,4.0,67.0
nsl_kdd_v2,5class_cw,rf-xgb,10,Normal,0.6662835249042136,0.1796934865900387,0.9800811895639486,0.1789272030651345,0.7013816324161148,0.7840783312047676,0.0,261.0
nsl_kdd_v2,5class_cw,rf-xgb,10,DoS,0.5399193548387098,0.07137096774193544,0.9868423579109066,0.0701612903225806,0.3953567937438904,0.6406810035842291,1.0,248.0
