Pair,k,Class,Target,feature_agreement,rank_agreement,sign_agreement,signed_rank_agreement,rank_correlation,pairwise_rank_agreement
rf-xgb,5,Normal,5class,0.7040000000000058,0.4116666666666678,0.9938888888888889,0.41100000000000114,0.79833333333333,0.8573333333333306
rf-xgb,10,Normal,5class,0.5998333333333334,0.2266666666666667,0.9746230158730166,0.22583333333333339,0.694989898989899,0.785444444444443
rf-xgb,15,Normal,5class,0.6996666666666711,0.16300000000000087,0.9360671966921963,0.16022222222222307,0.5495416666666663,0.7120952380952372
rf-dnn,5,Normal,5class,0.5070000000000001,0.15266666666666762,0.9830555555555555,0.1506666666666676,0.3424999999999997,0.640999999999998
rf-dnn,10,Normal,5class,0.4396666666666685,0.08583333333333389,0.9424801587301592,0.08350000000000053,0.14767676767676774,0.5506666666666675
rf-dnn,15,Normal,5class,0.4625555555555563,0.06733333333333354,0.9022895622895621,0.06555555555555571,0.1499642857142858,0.5511746031746033
xgb-dnn,5,Normal,5class,0.6406666666666714,0.20766666666666816,0.9927777777777779,0.20733333333333484,0.2359999999999998,0.5838333333333334
xgb-dnn,10,Normal,5class,0.45650000000000074,0.11833333333333376,0.9734365079365079,0.11716666666666714,0.3864040404040405,0.6389629629629626
xgb-dnn,15,Normal,5class,0.4762222222222226,0.09711111111111162,0.9518670634920632,0.09533333333333381,0.3667916666666662,0.6288095238095232
rf-xgb,5,DoS,5class,0.5820000000000022,0.16800000000000087,1.0,0.16800000000000087,0.4413333333333323,0.6739999999999989
rf-xgb,10,DoS,5class,0.6161666666666664,0.11116666666666716,0.9917936507936509,0.11100000000000051,0.4767474747474746,0.673259259259258
rf-xgb,15,DoS,5class,0.6451111111111152,0.0928888888888893,0.9514537499537506,0.09266666666666708,0.5140476190476193,0.6858571428571425
rf-dnn,5,DoS,5class,0.36633333333333473,0.11266666666666697,0.9223611111111112,0.11166666666666693,0.2544999999999995,0.5884999999999991
rf-dnn,10,DoS,5class,0.4531666666666675,0.07550000000000037,0.959746031746032,0.07433333333333368,0.13210101010101016,0.537518518518519
rf-dnn,15,DoS,5class,0.5737777777777799,0.06311111111111113,0.9421258417508407,0.06166666666666667,0.10894642857142849,0.5369047619047617
xgb-dnn,5,DoS,5class,0.4233333333333326,0.05266666666666654,0.8791666666666667,0.05266666666666654,0.3519999999999998,0.6250000000000008
xgb-dnn,10,DoS,5class,0.44900000000000073,0.048166666666666746,0.9437500000000004,0.04800000000000008,0.3795959595959591,0.6355555555555547
xgb-dnn,15,DoS,5class,0.48166666666666574,0.04133333333333324,0.8867519841269829,0.04011111111111102,0.3577083333333334,0.630126984126984
rf-xgb,5,Probe,5class,0.7006666666666719,0.25033333333333424,1.0,0.25033333333333424,0.4959999999999991,0.7068333333333342
rf-xgb,10,Probe,5class,0.6931666666666686,0.1558333333333334,0.9992857142857144,0.1558333333333334,0.6864646464646466,0.7699259259259253
rf-xgb,15,Probe,5class,0.7144444444444487,0.11766666666666722,0.9787596477596481,0.1160000000000005,0.6508095238095242,0.744746031746032
rf-dnn,5,Probe,5class,0.40533333333333244,0.12433333333333392,0.9530555555555557,0.11766666666666718,-0.09766666666666696,0.4669999999999989
rf-dnn,10,Probe,5class,0.5330000000000004,0.08100000000000045,0.9513412698412697,0.07683333333333377,0.07274747474747477,0.5428518518518515
rf-dnn,15,Probe,5class,0.5921111111111145,0.06700000000000013,0.9005889850889857,0.06022222222222221,0.1914642857142857,0.5791904761904763
