Model,Accuracy,Macro F1,Weighted F1,MCC
dnn_5class_cw,0.8072214336408801,0.6074335116030556,0.7904332192404859,0.7177116721237744
dnn_5class_smote,0.7885911994322214,0.5838539831007332,0.7625231711983993,0.6932874079116211
dnn_binary_cw,0.7904542228530873,0.790427198649891,0.7900976300468494,0.6171716676132846
dnn_binary_smote,0.7880589070262598,0.7880311451052592,0.7876952043402828,0.6123134589547967
rf_5class_cw,0.7363821859474805,0.4713696271649782,0.6887549037708085,0.6201512706616477
rf_5class_smote,0.7483144073811213,0.5253036203115997,0.7048650542205367,0.6375007685379165
rf_binary_cw,0.7649041873669269,0.763638042159118,0.7612423419537974,0.5996408201755166
rf_binary_smote,0.7805180979418027,0.7797925961021207,0.7780421967640315,0.6222001051023281
xgb_5class_cw,0.785264371894961,0.5931969417597265,0.7492100828388285,0.6896085329785976
xgb_5class_smote,0.7942689850958127,0.6387051174864459,0.7645635530514123,0.7024142564815868
xgb_binary_cw,0.7936036195883606,0.7932120569225939,0.791965921711051,0.6409658605680923
xgb_binary_smote,0.7944464158977999,0.7940714387703913,0.7928545171573251,0.642214732915563
