Model,alpha,threshold,empirical_coverage,mean_SCTS,median_SCTS
rf_binary_cw,0.05,0.77248322147651,0.9730305180979418,78.16366577148438,80.13976287841797
rf_binary_cw,0.1,0.22751677852348995,0.9217530163236338,60.55238342285156,75.20751953125
rf_binary_cw,0.2,0.10952380952380958,0.8078424414478353,53.60385513305664,64.29783630371094
xgb_binary_cw,0.05,0.6435483694076538,0.9646912704045423,63.706817626953125,64.00331115722656
xgb_binary_cw,0.1,0.6226069927215576,0.9024130589070263,63.24883270263672,63.88896179199219
xgb_binary_cw,0.2,0.4052976965904236,0.8050035486160397,50.3439826965332,56.972503662109375
dnn_binary_cw,0.05,0.7981528043746948,0.9488999290276792,83.60587310791016,81.60482788085938
dnn_binary_cw,0.1,0.7478693127632141,0.9020581973030518,83.1552734375,81.1290283203125
dnn_binary_cw,0.2,0.2521306872367859,0.8234563520227112,55.91144561767578,62.062286376953125
rf_5class_smote,0.05,0.9631312573373568,0.9536905606813343,63.993919372558594,64.39708709716797
rf_5class_smote,0.1,0.7814995313699038,0.9048970901348474,61.63508987426758,62.22593307495117
rf_5class_smote,0.2,0.6653771760154739,0.8282469836763662,58.05192565917969,59.37687683105469
xgb_5class_smote,0.05,0.9916921854019165,0.9542228530872959,68.92195892333984,66.16146087646484
xgb_5class_smote,0.1,0.9098409414291382,0.9095102909865153,68.21199798583984,65.13053894042969
xgb_5class_smote,0.2,0.5878670811653137,0.8055358410220014,61.845638275146484,57.11629867553711
dnn_5class_smote,0.05,0.9092733860015869,0.9499645138396026,76.79135131835938,83.98796844482422
dnn_5class_smote,0.1,0.9082064032554626,0.9033002129169624,76.77894592285156,83.98188781738281
dnn_5class_smote,0.2,0.6264452934265137,0.8003903477643719,69.2057113647461,81.3875961303711
