dataset,model,n_test,macro_f1,macro_f1_lo,macro_f1_hi,accuracy,accuracy_lo,accuracy_hi,f1_Normal,f1_DoS,f1_Probe,f1_R2L,f1_U2R
nsl_kdd_v2,rf_5class_cw,22544,0.46905722217708173,0.4602064271933627,0.4821426734111318,0.7345191625266146,0.7306156848828956,0.7385568222143364,0.7679252943564758,0.8468171252905451,0.6950661853188929,0.006906077348066298,0.02857142857142857
nsl_kdd_v2,xgb_5class_cw,22544,0.5947543324212714,0.5693223356923546,0.6189054867221361,0.7841997870830376,0.7804293825408091,0.788236337828247,0.806204863040041,0.8988474479203952,0.7713024282560706,0.13182552504038772,0.3655913978494624
nsl_kdd_v2,dnn_5class_cw,22544,0.5471231481826725,0.5399059116496243,0.5550193693118753,0.7716465578424414,0.7674769339957417,0.7761710432931157,0.8150504407888758,0.8918457378682225,0.7162523114855147,0.21897810218978103,0.09348914858096828
nsl_kdd_v2,rf_5class_smote,22544,0.5101795772576511,0.48972773449120277,0.5326665951789256,0.7427253371185237,0.7389105748757985,0.7467629968062455,0.7753962388108729,0.8416930260581413,0.7486486486486487,0.031313818924438394,0.15384615384615385
nsl_kdd_v2,xgb_5class_smote,22544,0.6137674816563837,0.5871316822769161,0.6374344005109777,0.7869499645138396,0.7831352022711142,0.7910308729595458,0.8091910661465255,0.897347670250896,0.7623041271242551,0.18695106649937265,0.41304347826086957
nsl_kdd_v2,dnn_5class_smote,22544,0.5746627663172444,0.5601119136722307,0.5892264716857261,0.7811834634492548,0.7771469127040455,0.7853530872959545,0.8141246135760003,0.8931914893617021,0.7286716451685902,0.1940828402366864,0.24324324324324326
unsw_nb15_v2,rf_5class_cw,63461,0.5685548231851765,0.5629430218228725,0.5745813689679198,0.696128330785837,0.6927081199476844,0.6997998770898662,0.8292455614408425,0.42483130904183536,0.6206967848650884,0.5890780212649129,0.3789224393132031
unsw_nb15_v2,xgb_5class_cw,63461,0.577476478570533,0.5722472153206049,0.5829761962956418,0.7012495863601267,0.697530372984983,0.7047477978601031,0.8373309537363263,0.44359294243450365,0.6003316749585407,0.587397004715759,0.418729817007535
unsw_nb15_v2,dnn_5class_cw,63461,0.47737620806468584,0.47384942292754983,0.48107814528761256,0.6016923779959346,0.5979731646207908,0.6054115913710783,0.7585229640743519,0.45585215605749485,0.5367746593267756,0.47993645402503493,0.155794806839772
unsw_nb15_v2,rf_5class_smote,63461,0.5504797301063465,0.546015423936985,0.5553456642369229,0.6871937095223838,0.6837270134413261,0.6909129228975276,0.8288616179055263,0.44092914828074264,0.5990928810885426,0.5730278025963105,0.3104872006606111
unsw_nb15_v2,xgb_5class_smote,63461,0.5911061363266217,0.5854872814539002,0.5966910553580731,0.7152109169411135,0.7118383731740755,0.7185523392319693,0.8463031748215405,0.4436215515645251,0.623978483500569,0.6059959891351255,0.4356314826113484
unsw_nb15_v2,dnn_5class_smote,63461,0.5020325275764226,0.49836228555420825,0.5060011997741508,0.6347835678605758,0.6312534469989443,0.6384866295835238,0.7920511913566353,0.44086773967809656,0.5477185966187966,0.5062157577105988,0.22330935251798562
cic_ids2017_v2,rf_5class_cw,40007,0.9583982761927942,0.9078239354363415,0.9930024448381852,0.9982003149448846,0.9977747644162271,0.9986002449571325,0.9988958181054727,0.9968424962852898,0.9948832035595105,0.9680365296803652,0.8333333333333334
cic_ids2017_v2,xgb_5class_cw,40007,0.9799174175358576,0.9561254773529757,0.9953535143195935,0.9990001749693803,0.9986502362086634,0.9993001224785663,0.999393307717437,0.9986063365232741,0.9973368841544608,0.970917225950783,0.9333333333333333
cic_ids2017_v2,dnn_5class_cw,40007,0.5400259606374458,0.5348024563897694,0.5448790136444039,0.8226560351938411,0.8187810883095459,0.8262304096783063,0.8776890836681102,0.807849802982307,0.8692607003891051,0.1002851711026616,0.04504504504504504
cic_ids2017_v2,rf_5class_smote,40007,0.9570705070800611,0.9071039537781334,0.9917006554104314,0.9982753018221812,0.9978503761841677,0.9986502362086634,0.9989421281891724,0.9971213668864333,0.9957787158409243,0.9601769911504425,0.8333333333333334
cic_ids2017_v2,xgb_5class_smote,40007,0.9781770573618008,0.9379857997204201,0.9956685882192882,0.9988502012147874,0.9985002624540705,0.9991501487239733,0.9992999050982466,0.9979572887650882,0.9973368841544608,0.9732142857142857,0.9230769230769231
cic_ids2017_v2,dnn_5class_smote,40007,0.7265001365952191,0.6892068364835926,0.7640048467886349,0.9605569025420552,0.9585822481065813,0.9624072037393456,0.9749358657722398,0.9361367998604083,0.9089805825242718,0.5365853658536586,0.27586206896551724
