dataset,model,partition,n,mean_max_prob,ece,brier,accuracy
nsl_kdd_v2,rf_5class_cw,X_calib_strict (cal-fit set),20158,0.9991225540519743,0.0002272297784461668,0.0014548905937806676,0.9990574461752157
nsl_kdd_v2,rf_5class_cw,X_mondrian_holdout (strict cf-fit set),5037,0.9989365041966567,0.0012576922148517214,0.0016502268366663476,0.9982132221560452
nsl_kdd_v2,rf_5class_cw,X_test full (eval set),22544,0.9697183754600049,0.19649587481208264,0.4158187108341098,0.7827803406671399
nsl_kdd_v2,xgb_5class_cw,X_calib_strict (cal-fit set),20158,0.9994316101074219,0.00023182687547447956,0.0008931769989430904,0.9993550947514634
nsl_kdd_v2,xgb_5class_cw,X_mondrian_holdout (strict cf-fit set),5037,0.9994827508926392,0.00042591402401449845,0.00048655029968358576,0.9994044073853484
nsl_kdd_v2,xgb_5class_cw,X_test full (eval set),22544,0.979286253452301,0.19682541021494215,0.40275511145591736,0.7827803406671399
nsl_kdd_v2,dnn_5class_cw,X_calib_strict (cal-fit set),20158,0.9915480017662048,0.0019323046685376798,0.011744744144380093,0.9925091774977677
nsl_kdd_v2,dnn_5class_cw,X_mondrian_holdout (strict cf-fit set),5037,0.9915019273757935,0.003248718550736804,0.012253116816282272,0.9922572960095295
nsl_kdd_v2,dnn_5class_cw,X_test full (eval set),22544,0.962646484375,0.19487874902589172,0.426742821931839,0.7747072391767211
nsl_kdd_v2,rf_5class_smote,X_calib_strict (cal-fit set),20158,0.999237713989357,0.00019790230370987695,0.0012147831579570913,0.9992558785593809
nsl_kdd_v2,rf_5class_smote,X_mondrian_holdout (strict cf-fit set),5037,0.9989167871361637,0.0005350635332588966,0.0015587325758593855,0.9988088147706968
nsl_kdd_v2,rf_5class_smote,X_test full (eval set),22544,0.9676584868449524,0.2093079945174569,0.42476719935474283,0.77541696238467
nsl_kdd_v2,xgb_5class_smote,X_calib_strict (cal-fit set),20158,0.9994862675666809,0.0001612004394958488,0.0008192589157260954,0.9994047028475047
nsl_kdd_v2,xgb_5class_smote,X_mondrian_holdout (strict cf-fit set),5037,0.9994924068450928,0.0006571475394974369,0.0011301065096631646,0.9992058765137979
nsl_kdd_v2,xgb_5class_smote,X_test full (eval set),22544,0.9728073477745056,0.19016002157188797,0.4016401767730713,0.7826472675656494
nsl_kdd_v2,dnn_5class_smote,X_calib_strict (cal-fit set),20158,0.9955414533615112,0.0010509082829625097,0.0056589338928461075,0.9964778251810695
nsl_kdd_v2,dnn_5class_smote,X_mondrian_holdout (strict cf-fit set),5037,0.9960076808929443,0.0017918784845104788,0.005940721370279789,0.9956323208258884
nsl_kdd_v2,dnn_5class_smote,X_test full (eval set),22544,0.9774580597877502,0.20772494859808383,0.4374990463256836,0.7700940383250532
