dataset,model,alpha,mean_threshold_across_classes,marginal_threshold_reference,empirical_coverage_mondrian,n_fallback_classes,mean_scts,median_scts
nsl_kdd_v2,rf_5class_cw,0.05,0.7882606477623324,1.0,0.971,1,82.45637512207031,87.35765838623047
nsl_kdd_v2,rf_5class_cw,0.1,0.7361550943479964,1.0,0.96,1,81.48804473876953,87.35740661621094
nsl_kdd_v2,rf_5class_cw,0.2,0.49546198013841714,0.7386623651294771,0.924,1,62.95262908935547,81.35489654541016
nsl_kdd_v2,xgb_5class_cw,0.05,0.7381729245185852,1.0,0.973,1,82.0334701538086,86.3067855834961
nsl_kdd_v2,xgb_5class_cw,0.1,0.6854065299034119,1.0,0.964,1,80.05521392822266,84.27178192138672
nsl_kdd_v2,xgb_5class_cw,0.2,0.4702370762825012,0.5511771440505981,0.928,1,63.10206985473633,81.35494232177734
nsl_kdd_v2,dnn_5class_cw,0.05,0.7613143682479858,1.0,0.962,1,75.76004791259766,75.39141082763672
nsl_kdd_v2,dnn_5class_cw,0.1,0.6929763704538345,0.999955415725708,0.95,1,75.025390625,75.39141082763672
nsl_kdd_v2,dnn_5class_cw,0.2,0.5077610969543457,0.8777742981910706,0.723,1,71.1554946899414,75.39141082763672
nsl_kdd_v2,rf_5class_smote,0.05,0.8447369251136594,1.0,0.973,1,75.9311752319336,80.697021484375
nsl_kdd_v2,rf_5class_smote,0.1,0.7699931359917093,1.0,0.957,1,75.6279525756836,80.697021484375
nsl_kdd_v2,rf_5class_smote,0.2,0.4686189253071859,0.7500003074384586,0.922,1,73.65336608886719,80.62680053710938
nsl_kdd_v2,xgb_5class_smote,0.05,0.7593660652637482,1.0,0.979,1,78.71484375,81.35497283935547
nsl_kdd_v2,xgb_5class_smote,0.1,0.6953195691108703,1.0,0.967,1,77.64205932617188,81.35497283935547
nsl_kdd_v2,xgb_5class_smote,0.2,0.4826632559299469,0.6560735106468201,0.938,1,60.19053268432617,80.66971588134766
nsl_kdd_v2,dnn_5class_smote,0.05,0.8913408756256104,1.0,0.973,0,77.258544921875,80.8919448852539
nsl_kdd_v2,dnn_5class_smote,0.1,0.8204843878746033,1.0,0.959,0,76.57532501220703,80.79254150390625
nsl_kdd_v2,dnn_5class_smote,0.2,0.6693985939025879,0.9557532668113708,0.928,0,73.53890991210938,80.2356948852539
