dataset,model,alpha,mean_threshold_across_classes,marginal_threshold_reference,empirical_coverage_mondrian,n_fallback_classes,mean_scts,median_scts
nsl_kdd_v2,rf_5class_cw,0.05,0.12259129278364238,1.2169796308691971e-05,0.542,1,1.7860461473464966,0.8735768795013428
nsl_kdd_v2,rf_5class_cw,0.1,0.04179676330156279,1.2169796308691971e-05,0.533,1,1.0215367078781128,0.8735768795013428
nsl_kdd_v2,rf_5class_cw,0.2,1.2169796308691971e-05,1.2169796308691971e-05,0.53,1,0.8461965322494507,0.8735768795013428
nsl_kdd_v2,xgb_5class_cw,0.05,0.08643079400062562,2.0265579223632812e-06,0.555,1,9.88691234588623,0.873579740524292
nsl_kdd_v2,xgb_5class_cw,0.1,0.0018888235092163086,2.0265579223632812e-06,0.528,1,0.9215711355209351,0.8708239793777466
nsl_kdd_v2,xgb_5class_cw,0.2,2.0265579223632812e-06,2.0265579223632812e-06,0.525,1,0.8410354852676392,0.8708239793777466
nsl_kdd_v2,dnn_5class_cw,0.05,0.21915302649140359,0.02159399911761284,0.555,1,46.75929641723633,69.26104736328125
nsl_kdd_v2,dnn_5class_cw,0.1,0.17560324668884278,0.0021350979804992676,0.525,1,39.28948211669922,54.62329864501953
nsl_kdd_v2,dnn_5class_cw,0.2,0.15291318893432618,0.0002586245536804199,0.5,1,19.921066284179688,0.8135266304016113
nsl_kdd_v2,rf_5class_smote,0.05,0.14242179823055437,1.4703896268120076e-05,0.511,1,1.5082064867019653,0.812958300113678
nsl_kdd_v2,rf_5class_smote,0.1,1.4721560055606221e-05,1.4703896268120076e-05,0.509,1,1.0057123899459839,0.8093271255493164
nsl_kdd_v2,rf_5class_smote,0.2,1.4703896268120076e-05,1.4703896268120076e-05,0.509,1,1.0057123899459839,0.8093271255493164
nsl_kdd_v2,xgb_5class_smote,0.05,0.005131088197231293,2.6226043701171875e-06,0.593,1,2.62276029586792,0.8135504126548767
nsl_kdd_v2,xgb_5class_smote,0.1,2.6226043701171875e-06,2.6226043701171875e-06,0.591,1,1.4207115173339844,0.8135504126548767
nsl_kdd_v2,xgb_5class_smote,0.2,2.6226043701171875e-06,2.6226043701171875e-06,0.591,1,1.4207115173339844,0.8135504126548767
nsl_kdd_v2,dnn_5class_smote,0.05,0.1892659306526184,0.0044321417808532715,0.529,1,15.840428352355957,10.995597839355469
nsl_kdd_v2,dnn_5class_smote,0.1,0.08295683860778809,0.00010418891906738281,0.518,1,13.43175983428955,8.294807434082031
nsl_kdd_v2,dnn_5class_smote,0.2,0.019959564507007598,0.00010418891906738281,0.493,1,1.496740698814392,0.8135227560997009
