dataset,model,predicted_class_idx,predicted_class,mondrian_threshold,is_fallback,n_calib,cliff_fraction,signal_threshold,signal_cliff,signal_support,calib_health
nsl_kdd_v2,rf_5class_cw,0,Normal,1.0,False,13334,0.2832608369581521,red,red,green,red
nsl_kdd_v2,rf_5class_cw,1,DoS,0.48000115624718354,False,6327,0.034139402560455195,green,green,green,green
nsl_kdd_v2,rf_5class_cw,2,Probe,1.0,False,1771,0.11801242236024845,red,amber,green,red
nsl_kdd_v2,rf_5class_cw,3,R2L,0.49354748735004383,False,108,0.0,green,green,green,green
nsl_kdd_v2,rf_5class_cw,4,U2R,1.0,True,4,0.5,red,red,red,red
nsl_kdd_v2,xgb_5class_cw,0,Normal,1.0,False,13071,0.25644556652130673,red,red,green,red
nsl_kdd_v2,xgb_5class_cw,1,DoS,0.2908620834350586,False,6324,0.03241619228336496,green,green,green,green
nsl_kdd_v2,xgb_5class_cw,2,Probe,1.0,False,1947,0.1689779147406266,red,amber,green,red
nsl_kdd_v2,xgb_5class_cw,3,R2L,0.40000253915786743,False,196,0.00510204081632653,green,green,green,green
nsl_kdd_v2,xgb_5class_cw,4,U2R,1.0,True,6,1.0,red,red,red,red
nsl_kdd_v2,dnn_5class_cw,0,Normal,1.0,False,13374,0.28046956781815463,red,red,green,red
nsl_kdd_v2,dnn_5class_cw,1,DoS,0.4447098970413208,False,6272,0.04400510204081633,green,green,green,green
nsl_kdd_v2,dnn_5class_cw,2,Probe,0.9866669774055481,False,1686,0.09786476868327403,amber,amber,green,amber
nsl_kdd_v2,dnn_5class_cw,3,R2L,0.3751949667930603,False,202,0.01485148514851485,green,green,green,green
nsl_kdd_v2,dnn_5class_cw,4,U2R,1.0,True,10,0.6,red,red,red,red
nsl_kdd_v2,rf_5class_smote,0,Normal,1.0,False,13410,0.2604772557792692,red,red,green,red
nsl_kdd_v2,rf_5class_smote,1,DoS,0.49061055056052216,False,6314,0.0345264491605955,green,green,green,green
nsl_kdd_v2,rf_5class_smote,2,Probe,1.0,False,1646,0.11603888213851762,red,amber,green,red
nsl_kdd_v2,rf_5class_smote,3,R2L,0.46153936913341764,False,170,0.0,green,green,green,green
nsl_kdd_v2,rf_5class_smote,4,U2R,1.0,True,4,0.75,red,red,red,red
nsl_kdd_v2,xgb_5class_smote,0,Normal,1.0,False,13071,0.24458725422691455,red,red,green,red
nsl_kdd_v2,xgb_5class_smote,1,DoS,0.3571479916572571,False,6277,0.032658913493707184,green,green,green,green
nsl_kdd_v2,xgb_5class_smote,2,Probe,1.0,False,1923,0.17992719708788352,red,amber,green,red
nsl_kdd_v2,xgb_5class_smote,3,R2L,0.43968233466148376,False,268,0.0,green,green,green,green
nsl_kdd_v2,xgb_5class_smote,4,U2R,1.0,True,5,1.0,red,red,red,red
nsl_kdd_v2,dnn_5class_smote,0,Normal,1.0,False,13292,0.2830273848931688,red,red,green,red
nsl_kdd_v2,dnn_5class_smote,1,DoS,0.45670437812805176,False,6347,0.04584843233023476,green,green,green,green
nsl_kdd_v2,dnn_5class_smote,2,Probe,1.0,False,1631,0.11710606989576947,red,amber,green,red
nsl_kdd_v2,dnn_5class_smote,3,R2L,1.0,False,235,0.3702127659574468,red,red,green,red
nsl_kdd_v2,dnn_5class_smote,4,U2R,1.0,False,39,0.9230769230769231,red,red,amber,red
unsw_nb15_v2,rf_5class_cw,0,Normal,0.4874123811248312,False,27812,0.00028764562059542645,green,green,green,green
unsw_nb15_v2,rf_5class_cw,1,DoS,0.690847979035034,False,124,0.008064516129032258,green,green,green,green
unsw_nb15_v2,rf_5class_cw,2,Probe,0.7267913863775285,False,3163,0.0037938665823585203,green,green,green,green
unsw_nb15_v2,rf_5class_cw,3,R2L,0.9001092132802904,False,30918,0.01972960734847015,green,green,green,green
unsw_nb15_v2,rf_5class_cw,4,U2R,0.9982911108044621,False,444,0.30405405405405406,amber,red,green,red
unsw_nb15_v2,xgb_5class_cw,0,Normal,0.4801475405693054,False,27185,0.0001839249586168843,green,green,green,green
unsw_nb15_v2,xgb_5class_cw,1,DoS,0.8636389374732971,False,842,0.026128266033254157,green,green,green,green
unsw_nb15_v2,xgb_5class_cw,2,Probe,0.9127776026725769,False,3699,0.04271424709380914,green,green,green,green
unsw_nb15_v2,xgb_5class_cw,3,R2L,0.9098784327507019,False,30010,0.03268910363212263,green,green,green,green
unsw_nb15_v2,xgb_5class_cw,4,U2R,0.9981290698051453,False,725,0.2620689655172414,amber,red,green,red
unsw_nb15_v2,dnn_5class_cw,0,Normal,0.46638959646224976,False,22602,0.0,green,green,green,green
unsw_nb15_v2,dnn_5class_cw,1,DoS,0.5731340050697327,False,97,0.0,green,green,amber,amber
unsw_nb15_v2,dnn_5class_cw,2,Probe,0.9781879782676697,False,4536,0.08465608465608465,amber,amber,green,amber
unsw_nb15_v2,dnn_5class_cw,3,R2L,0.8907523155212402,False,34284,0.009917162524792906,green,green,green,green
unsw_nb15_v2,dnn_5class_cw,4,U2R,0.9985120892524719,False,942,0.28450106157112526,amber,red,green,red
unsw_nb15_v2,rf_5class_smote,0,Normal,0.49192952937459744,False,27154,0.0001841349340796936,green,green,green,green
unsw_nb15_v2,rf_5class_smote,1,DoS,0.8096613717370588,False,192,0.020833333333333332,green,green,green,green
unsw_nb15_v2,rf_5class_smote,2,Probe,0.8010273929344949,False,3555,0.002250351617440225,green,green,green,green
unsw_nb15_v2,rf_5class_smote,3,R2L,0.8975130187103496,False,30995,0.015873527988385223,green,green,green,green
unsw_nb15_v2,rf_5class_smote,4,U2R,0.999337565692101,False,565,0.3238938053097345,red,red,green,red
unsw_nb15_v2,xgb_5class_smote,0,Normal,0.4848346710205078,False,28169,0.0003195001597500799,green,green,green,green
unsw_nb15_v2,xgb_5class_smote,1,DoS,0.8512584567070007,False,883,0.004530011325028313,green,green,green,green
unsw_nb15_v2,xgb_5class_smote,2,Probe,0.9123104214668274,False,3760,0.03696808510638298,green,green,green,green
unsw_nb15_v2,xgb_5class_smote,3,R2L,0.9050580859184265,False,29039,0.030269637384207446,green,green,green,green
unsw_nb15_v2,xgb_5class_smote,4,U2R,0.9977757334709167,False,610,0.25245901639344265,amber,red,green,red
unsw_nb15_v2,dnn_5class_smote,0,Normal,0.49464404582977295,False,26504,0.00015092061575611228,green,green,green,green
unsw_nb15_v2,dnn_5class_smote,1,DoS,0.6507017612457275,False,327,0.0030581039755351682,green,green,green,green
unsw_nb15_v2,dnn_5class_smote,2,Probe,0.9772981405258179,False,4507,0.1027290880852008,amber,amber,green,amber
unsw_nb15_v2,dnn_5class_smote,3,R2L,0.8904426097869873,False,30117,0.014676096556761963,green,green,green,green
unsw_nb15_v2,dnn_5class_smote,4,U2R,1.0,False,1006,0.3220675944333996,red,red,green,red
cic_ids2017_v2,rf_5class_cw,0,Normal,0.0011118676713278708,False,31768,9.443465122135482e-05,amber,green,green,amber
cic_ids2017_v2,rf_5class_cw,1,DoS,0.011909181161902538,False,5161,0.0021313698895562877,amber,green,green,amber
cic_ids2017_v2,rf_5class_cw,2,Probe,0.010208443054763872,False,2051,0.004388103364212579,amber,green,green,amber
cic_ids2017_v2,rf_5class_cw,3,R2L,0.006021504765367003,True,27,0.037037037037037035,amber,green,red,red
cic_ids2017_v2,rf_5class_cw,4,U2R,0.006021504765367003,True,0,,amber,red,red,red
cic_ids2017_v2,xgb_5class_cw,0,Normal,0.0005363821983337402,False,31776,6.294058408862034e-05,red,green,green,red
cic_ids2017_v2,xgb_5class_cw,1,DoS,0.008852005004882812,False,5156,0.0013576415826221878,amber,green,green,amber
cic_ids2017_v2,xgb_5class_cw,2,Probe,0.025135695934295654,False,2049,0.003904343582235237,amber,green,green,amber
cic_ids2017_v2,xgb_5class_cw,3,R2L,0.001264035701751709,True,25,0.04,amber,green,red,red
cic_ids2017_v2,xgb_5class_cw,4,U2R,0.001264035701751709,True,1,0.0,amber,green,red,red
cic_ids2017_v2,dnn_5class_cw,0,Normal,0.42870211601257324,False,32537,0.004794541598795218,green,green,green,green
cic_ids2017_v2,dnn_5class_cw,1,DoS,0.48829638957977295,False,4005,0.00149812734082397,green,green,green,green
cic_ids2017_v2,dnn_5class_cw,2,Probe,0.8320385217666626,False,2446,0.0012264922322158627,green,green,green,green
cic_ids2017_v2,dnn_5class_cw,3,R2L,0.48829638957977295,True,16,0.0,green,green,red,red
cic_ids2017_v2,dnn_5class_cw,4,U2R,0.48829638957977295,True,3,1.0,green,red,red,red
cic_ids2017_v2,rf_5class_smote,0,Normal,0.0007323098584490761,False,31763,6.29663444888707e-05,red,green,green,red
cic_ids2017_v2,rf_5class_smote,1,DoS,0.01846194316658034,False,5159,0.0005815080441946114,amber,green,green,amber
cic_ids2017_v2,rf_5class_smote,2,Probe,0.004042268800085624,False,2051,0.0039005363237445147,amber,green,green,amber
cic_ids2017_v2,rf_5class_smote,3,R2L,0.996134139969178,False,34,0.11764705882352941,amber,amber,amber,amber
cic_ids2017_v2,rf_5class_smote,4,U2R,0.003867778123281762,True,0,,amber,red,red,red
cic_ids2017_v2,xgb_5class_smote,0,Normal,0.00036585330963134766,False,31768,6.295643414756988e-05,red,green,green,red
cic_ids2017_v2,xgb_5class_smote,1,DoS,0.012272477149963379,False,5161,0.0017438480914551443,amber,green,green,amber
cic_ids2017_v2,xgb_5class_smote,2,Probe,0.043100059032440186,False,2049,0.004392386530014641,amber,green,green,amber
cic_ids2017_v2,xgb_5class_smote,3,R2L,0.001849353313446045,True,29,0.10344827586206896,amber,amber,red,red
cic_ids2017_v2,xgb_5class_smote,4,U2R,0.001849353313446045,True,0,,amber,red,red,red
cic_ids2017_v2,dnn_5class_smote,0,Normal,0.007840931415557861,False,31604,0.0003164156435894191,amber,green,green,amber
cic_ids2017_v2,dnn_5class_smote,1,DoS,0.4623229503631592,False,5288,0.00132375189107413,green,green,green,green
cic_ids2017_v2,dnn_5class_smote,2,Probe,0.7884213924407959,False,2066,0.0,green,green,green,green
cic_ids2017_v2,dnn_5class_smote,3,R2L,0.990983784198761,False,49,0.04081632653061224,amber,green,amber,amber
cic_ids2017_v2,dnn_5class_smote,4,U2R,0.1858748197555542,True,0,,green,red,red,red
