dataset,model,sample_position,true_class,pred_class,correct,c1,c2,c3,scts
nsl_kdd_v2,rf_5class_cw,0,0,0,1,0.9999878406524658,0.6666666865348816,0.0,0.8735768795013428
nsl_kdd_v2,rf_5class_cw,1,4,0,0,0.9996823668479919,0.6666666865348816,0.0,0.8734878301620483
nsl_kdd_v2,rf_5class_cw,2,3,0,0,0.9999878406524658,0.5384615659713745,0.0,0.8135477900505066
nsl_kdd_v2,rf_5class_cw,3,3,0,0,0.9999878406524658,0.6666666865348816,0.0,0.8735768795013428
nsl_kdd_v2,rf_5class_cw,4,0,0,1,0.9999878406524658,0.8181818127632141,0.0,0.9352939128875732
nsl_kdd_v2,rf_5class_cw,5,2,2,1,0.5777703523635864,0.5384615659713745,0.0,0.6775946021080017
nsl_kdd_v2,rf_5class_cw,6,4,0,0,0.999584436416626,0.5384615659713745,0.0,0.813438355922699
nsl_kdd_v2,rf_5class_cw,7,3,0,0,0.999981164932251,0.4285714328289032,0.0,0.753942608833313
nsl_kdd_v2,rf_5class_cw,8,1,1,1,0.9736726880073547,0.5384615659713745,0.0,0.8063480257987976
nsl_kdd_v2,rf_5class_cw,9,0,0,1,0.9999878406524658,0.6666666865348816,0.0,0.8735768795013428
nsl_kdd_v2,rf_5class_cw,10,2,2,1,0.9999878406524658,0.6666666865348816,0.0,0.8735768795013428
nsl_kdd_v2,rf_5class_cw,11,2,2,1,0.9999878406524658,0.8181818127632141,0.0,0.9352939128875732
nsl_kdd_v2,rf_5class_cw,12,0,0,1,0.9999878406524658,0.6666666865348816,0.0,0.8735768795013428
nsl_kdd_v2,rf_5class_cw,13,1,0,0,0.9730626940727234,0.6666666865348816,0.0,0.8656648993492126
nsl_kdd_v2,rf_5class_cw,14,3,0,0,0.9999878406524658,0.8181818127632141,0.0,0.9352939128875732
nsl_kdd_v2,rf_5class_cw,15,0,2,0,0.9999878406524658,0.6666666865348816,0.0,0.8735768795013428
nsl_kdd_v2,rf_5class_cw,16,0,0,1,0.9999878406524658,0.5384615659713745,0.0,0.8135477900505066
nsl_kdd_v2,rf_5class_cw,17,3,0,0,0.9999878406524658,0.8181818127632141,0.0,0.9352939128875732
nsl_kdd_v2,rf_5class_cw,18,0,0,1,0.9999878406524658,0.5384615659713745,0.0,0.8135477900505066
nsl_kdd_v2,rf_5class_cw,19,0,0,1,0.9999878406524658,0.6666666865348816,0.0,0.8735768795013428
