dataset,model,true_class,class_idx,n,mean_scts,mean_c1,mean_c2,mean_c3,accuracy
nsl_kdd_v2,rf_5class_cw,Normal,0,261,0.8635246753692627,0.9968532919883728,0.6514940857887268,3.124630509887538e-08,0.9616858237547893
nsl_kdd_v2,rf_5class_cw,DoS,1,248,0.8604579567909241,0.9513925909996033,0.6798094511032104,2.4187563951727498e-08,0.8266129032258065
nsl_kdd_v2,rf_5class_cw,Probe,2,211,0.8288851976394653,0.9213783144950867,0.6299309134483337,2.140159516272888e-08,0.7772511848341233
nsl_kdd_v2,rf_5class_cw,R2L,3,213,3.843125343322754,0.9638803005218506,0.6087383031845093,0.027848776429891586,0.056338028169014086
nsl_kdd_v2,rf_5class_cw,U2R,4,67,5.280481815338135,0.9425890445709229,0.6051411032676697,0.046909134835004807,0.07462686567164178
nsl_kdd_v2,xgb_5class_cw,Normal,0,261,22.601102828979492,0.999168872833252,0.6015785336494446,0.02495894581079483,0.9616858237547893
nsl_kdd_v2,xgb_5class_cw,DoS,1,248,1.0179940462112427,0.9635671973228455,0.6370819807052612,0.00023041473468765616,0.8387096774193549
nsl_kdd_v2,xgb_5class_cw,Probe,2,211,0.8571613430976868,0.9293837547302246,0.6907327175140381,0.0,0.6966824644549763
nsl_kdd_v2,xgb_5class_cw,R2L,3,213,15.510400772094727,0.9647755026817322,0.6003370881080627,0.06195279210805893,0.06103286384976526
nsl_kdd_v2,xgb_5class_cw,U2R,4,67,3.746049642562866,0.9293121099472046,0.5719255805015564,0.014315330423414707,0.2537313432835821
nsl_kdd_v2,dnn_5class_cw,Normal,0,261,71.55040740966797,0.983686089515686,0.4624353051185608,0.9240254759788513,0.9540229885057471
nsl_kdd_v2,dnn_5class_cw,DoS,1,248,9.17580509185791,0.9795975685119629,0.494080513715744,0.10520653426647186,0.8387096774193549
nsl_kdd_v2,dnn_5class_cw,Probe,2,211,55.102081298828125,0.9308896660804749,0.5862036943435669,0.636772871017456,0.6824644549763034
nsl_kdd_v2,dnn_5class_cw,R2L,3,213,57.126731872558594,0.9047175049781799,0.5141696929931641,0.6746142506599426,0.06572769953051644
nsl_kdd_v2,dnn_5class_cw,U2R,4,67,30.06730842590332,0.8512399196624756,0.551935613155365,0.3121248483657837,0.19402985074626866
nsl_kdd_v2,rf_5class_smote,Normal,0,261,0.7921664714813232,0.9962682127952576,0.5034412741661072,4.489126848028491e-09,0.9578544061302682
nsl_kdd_v2,rf_5class_smote,DoS,1,248,0.7584490776062012,0.9410856366157532,0.47533270716667175,3.553257910127172e-09,0.842741935483871
nsl_kdd_v2,rf_5class_smote,Probe,2,211,0.7891475558280945,0.923023521900177,0.5446275472640991,2.6131297126141817e-09,0.6919431279620853
nsl_kdd_v2,rf_5class_smote,R2L,3,213,1.3790702819824219,0.9608750343322754,0.5304889678955078,0.0074849375523626804,0.009389671361502348
nsl_kdd_v2,rf_5class_smote,U2R,4,67,9.747814178466797,0.9265729784965515,0.49486079812049866,0.11073163896799088,0.05970149253731343
nsl_kdd_v2,xgb_5class_smote,Normal,0,261,0.822331428527832,0.9954745173454285,0.5635462403297424,0.0,0.9578544061302682
nsl_kdd_v2,xgb_5class_smote,DoS,1,248,0.8044528365135193,0.948082447052002,0.5608313679695129,0.0,0.8266129032258065
nsl_kdd_v2,xgb_5class_smote,Probe,2,211,0.8139488101005554,0.9136735200881958,0.6077193021774292,0.0,0.7109004739336493
nsl_kdd_v2,xgb_5class_smote,R2L,3,213,6.1503190994262695,0.9703925251960754,0.5371756553649902,0.0657031387090683,0.07042253521126761
nsl_kdd_v2,xgb_5class_smote,U2R,4,67,10.84875202178955,0.914657473564148,0.45951783657073975,0.13432677090168,0.26865671641791045
nsl_kdd_v2,dnn_5class_smote,Normal,0,261,13.180136680603027,0.9933463335037231,0.5359477400779724,0.02067384123802185,0.9655172413793104
nsl_kdd_v2,dnn_5class_smote,DoS,1,248,2.9219295978546143,0.9790998101234436,0.5100560784339905,0.018623532727360725,0.842741935483871
nsl_kdd_v2,dnn_5class_smote,Probe,2,211,38.975006103515625,0.9352426528930664,0.5470457673072815,0.4512956738471985,0.6161137440758294
nsl_kdd_v2,dnn_5class_smote,R2L,3,213,13.018181800842285,0.9637181162834167,0.4683539867401123,0.047980621457099915,0.06103286384976526
nsl_kdd_v2,dnn_5class_smote,U2R,4,67,10.136945724487305,0.9158128499984741,0.5286118984222412,0.08259854465723038,0.2835820895522388
