protocol,dataset,model,alpha,nominal_coverage,empirical_coverage_mondrian,mean_threshold,n_fallback_classes,mean_scts,coverage_gap
v2,nsl_kdd_v2,rf_5class_cw,0.05,0.95,0.971,0.7882606477623324,1,82.45637781727149,0.02100000000000002
v2,nsl_kdd_v2,rf_5class_cw,0.1,0.9,0.96,0.7361550943479964,1,81.48805241849853,0.05999999999999994
v2,nsl_kdd_v2,rf_5class_cw,0.2,0.8,0.924,0.49546198013841714,1,62.952630424815084,0.124
v2,nsl_kdd_v2,xgb_5class_cw,0.05,0.95,0.973,0.7381729245185852,1,82.03346349146517,0.02300000000000002
v2,nsl_kdd_v2,xgb_5class_cw,0.1,0.9,0.964,0.6854065299034119,1,80.05520902945855,0.06399999999999995
v2,nsl_kdd_v2,xgb_5class_cw,0.2,0.8,0.928,0.4702370762825012,1,63.1020683863949,0.128
v2,nsl_kdd_v2,dnn_5class_cw,0.05,0.95,0.962,0.7613143682479858,1,75.76005275630834,0.01200000000000001
v2,nsl_kdd_v2,dnn_5class_cw,0.1,0.9,0.95,0.6929763704538345,1,75.02539399783333,0.04999999999999993
v2,nsl_kdd_v2,dnn_5class_cw,0.2,0.8,0.723,0.5077610969543457,1,71.15548890732305,-0.07700000000000007
v2,nsl_kdd_v2,rf_5class_smote,0.05,0.95,0.973,0.8447369251136594,1,75.93117114733047,0.02300000000000002
v2,nsl_kdd_v2,rf_5class_smote,0.1,0.9,0.957,0.7699931359917093,1,75.62795089821388,0.05699999999999994
v2,nsl_kdd_v2,rf_5class_smote,0.2,0.8,0.922,0.4686189253071859,1,73.65336066735519,0.122
v2,nsl_kdd_v2,xgb_5class_smote,0.05,0.95,0.979,0.7593660652637482,1,78.71484238426943,0.029000000000000026
v2,nsl_kdd_v2,xgb_5class_smote,0.1,0.9,0.967,0.6953195691108703,1,77.64205626725627,0.06699999999999995
v2,nsl_kdd_v2,xgb_5class_smote,0.2,0.8,0.938,0.4826632559299469,1,60.19053056919824,0.1379999999999999
v2,nsl_kdd_v2,dnn_5class_smote,0.05,0.95,0.973,0.8913408756256104,0,77.25854140844606,0.02300000000000002
v2,nsl_kdd_v2,dnn_5class_smote,0.1,0.9,0.959,0.8204843878746033,0,76.5753305454505,0.05899999999999994
v2,nsl_kdd_v2,dnn_5class_smote,0.2,0.8,0.928,0.6693985939025879,0,73.53890781131922,0.128
v2,unsw_nb15_v2,rf_5class_cw,0.05,0.95,0.93,0.7606904141244293,0,58.55053654469264,-0.019999999999999907
v2,unsw_nb15_v2,rf_5class_cw,0.1,0.9,0.883,0.723469315958209,0,57.88371256293147,-0.017000000000000015
v2,unsw_nb15_v2,rf_5class_cw,0.2,0.8,0.799,0.6584368565938069,0,56.04083516740923,-0.0010000000000000009
v2,unsw_nb15_v2,xgb_5class_cw,0.05,0.95,0.93,0.8329143166542053,0,62.202563658458125,-0.019999999999999907
v2,unsw_nb15_v2,xgb_5class_cw,0.1,0.9,0.905,0.8013596892356872,0,61.60533849209409,0.0050000000000000044
v2,unsw_nb15_v2,xgb_5class_cw,0.2,0.8,0.814,0.6710370063781739,0,59.993046427167556,0.013999999999999901
v2,unsw_nb15_v2,dnn_5class_cw,0.05,0.95,0.921,0.7813951969146729,0,62.35959023325566,-0.028999999999999915
v2,unsw_nb15_v2,dnn_5class_cw,0.1,0.9,0.845,0.6600252151489258,0,61.291800522024744,-0.05500000000000005
v2,unsw_nb15_v2,dnn_5class_cw,0.2,0.8,0.784,0.609290075302124,0,59.955314981815086,-0.016000000000000014
v2,unsw_nb15_v2,rf_5class_smote,0.05,0.95,0.939,0.7998937756897203,0,60.264359605006064,-0.01100000000000001
v2,unsw_nb15_v2,rf_5class_smote,0.1,0.9,0.881,0.7533479232909983,0,59.71239641456174,-0.019000000000000017
v2,unsw_nb15_v2,rf_5class_smote,0.2,0.8,0.807,0.689439422399624,0,58.05748573807413,0.007000000000000006
v2,unsw_nb15_v2,xgb_5class_smote,0.05,0.95,0.908,0.8302474737167358,0,59.69323515693107,-0.041999999999999926
v2,unsw_nb15_v2,xgb_5class_smote,0.1,0.9,0.869,0.7956615328788758,0,59.04310858700457,-0.031000000000000028
v2,unsw_nb15_v2,xgb_5class_smote,0.2,0.8,0.789,0.7156583070755005,0,57.4379423801599,-0.01100000000000001
v2,unsw_nb15_v2,dnn_5class_smote,0.05,0.95,0.929,0.8026173114776611,0,60.779129516350196,-0.020999999999999908
v2,unsw_nb15_v2,dnn_5class_smote,0.1,0.9,0.859,0.7775252938270569,0,60.21632572843018,-0.041000000000000036
v2,unsw_nb15_v2,dnn_5class_smote,0.2,0.8,0.783,0.6233971662819385,0,58.35413941246708,-0.017000000000000015
v2,cic_ids2017_v2,rf_5class_cw,0.05,0.95,0.912,0.007054500283745657,2,46.43232339514765,-0.03799999999999992
v2,cic_ids2017_v2,rf_5class_cw,0.1,0.9,0.748,0.0034774143359567857,2,20.09680737447519,-0.15200000000000002
v2,cic_ids2017_v2,rf_5class_cw,0.2,0.8,0.723,0.0021075076457280017,2,9.324609426040546,-0.07700000000000007
v2,cic_ids2017_v2,xgb_5class_cw,0.05,0.95,0.966,0.007410430908203125,2,72.58849938980586,0.016000000000000014
v2,cic_ids2017_v2,xgb_5class_cw,0.1,0.9,0.907,0.00287463515996933,2,42.91244594672282,0.007000000000000006
