protocol,dataset,model,n_misclassified,ci_evaluable,auroc_c1,auroc_c2,auroc_c3,auroc_scts,auroc_scts_c1c2,auroc_scts_c1c3,pearson_c1,pearson_c2,pearson_c3,pearson_scts,pearson_scts_c1c2,pearson_scts_c1c3,delta_pearson_vs_c1,delta_pearson_lo,delta_pearson_hi,delta_auroc_vs_c1,delta_auroc_lo,delta_auroc_hi,verdict_pearson,verdict_auroc
strict,cic_ids2017_v2,dnn_5class_cw,222,True,0.8193161027351259,0.6517085851918757,0.8305599944417426,0.8134017693786332,0.7522725167326709,0.8245038097223187,0.45032424537618543,0.2180711582318824,0.5058055052539658,0.4578550913472826,0.34626747251107093,0.47396445024526457,0.007530845971097155,-0.01577307486980922,0.030666525499921972,-0.005914333356492718,-0.022143197713083956,0.009302286441171047,no difference,no difference
strict,cic_ids2017_v2,dnn_5class_smote,33,True,0.8680392341198959,0.4463194509730187,0.9393626022374729,0.8563661433361537,0.6134405064084485,0.9309485757262386,0.3506909519624533,-0.041904146305449856,0.5225085122963856,0.45436382363251865,0.0732042833874308,0.5188054504531973,0.10367287167006534,0.006982849718823982,0.20599445969530733,-0.011673090783742235,-0.07086886444747234,0.034028431302349865,composite better,no difference
strict,cic_ids2017_v2,rf_5class_cw,12,True,0.7369264507422402,0.3991228070175439,0.8882000674763832,0.8722587719298246,0.47060560053981104,0.8911099865047234,0.42660276824536614,-0.03039395714314949,0.3592885734874592,0.2913782554993654,-0.015047556690383507,0.3984705399930888,-0.13522451274600072,-0.3865166978461879,0.09966573796190807,0.13533232118758443,0.010206560333887647,0.2890539439622352,no difference,composite better
strict,cic_ids2017_v2,rf_5class_smote,8,False,0.8424269153225806,0.30657762096774194,0.9808467741935484,0.9727822580645161,0.3800403225806452,0.9850680443548387,0.17827734534357897,-0.057962194369050646,0.2745818939485388,0.28511280200366507,-0.04940701818183179,0.3064978761824556,0.10683545666008609,,,0.1303553427419355,,,not evaluable,not evaluable
strict,cic_ids2017_v2,xgb_5class_cw,5,False,0.918391959798995,0.6960804020100503,0.9752763819095477,0.9818090452261307,0.8368844221105528,0.9811055276381909,0.21686006969308963,0.044353049602477185,0.2626939130741578,0.2684820534872427,0.05628595350736008,0.2745278505005038,0.05162198379415306,,,0.06341708542713564,,,not evaluable,not evaluable
strict,cic_ids2017_v2,xgb_5class_smote,7,False,0.9473457056538628,0.4463386563084448,0.9859013091641491,0.9896417781614156,0.7306862321968062,0.9909365558912386,0.4611530882151311,-0.015112195126872497,0.33638744988550473,0.34142309602597165,0.031454842530665855,0.3512324125208426,-0.11972999218915947,,,0.04229607250755285,,,not evaluable,not evaluable
strict,nsl_kdd_v2,dnn_5class_cw,372,True,0.7367153790836244,0.41422248476131773,0.5601970755427711,0.5244139956167386,0.5202490411615642,0.6061656735840011,0.21249921987430878,-0.15251083222580147,0.023534011005959345,-0.00803967133023949,-0.022984244743933468,0.00526865304739163,-0.22053889120454828,-0.2794144142713748,-0.16160034099735282,-0.21230138346688576,-0.24846121020931175,-0.1763213786952057,c1 better,c1 better
strict,nsl_kdd_v2,dnn_5class_smote,377,True,0.728763874637567,0.56326664424301,0.5500785537592977,0.5947094362437253,0.6499844595543937,0.5998761022007826,0.17639906596753666,0.11015562517118586,0.21210209874600286,0.1989431693646711,0.18973049569669106,0.2064331649977864,0.022544103397134446,-0.05110344165241723,0.09484230945402987,-0.13405443839384168,-0.16996054704838634,-0.09812081577097947,no difference,c1 better
strict,nsl_kdd_v2,rf_5class_cw,363,True,0.7125428683870242,0.540087618009696,0.5025018271771519,0.6060173592641125,0.6012212895329778,0.7177930294813412,0.006338408402262989,0.08814504395804214,0.004342356880601937,0.012993808982595044,0.0812875232714929,0.008248885813126867,0.0066554005803320555,-0.08886396414783121,0.09930592136301475,-0.1065255091229117,-0.14085149885118967,-0.07255824907992206,no difference,c1 better
strict,nsl_kdd_v2,rf_5class_smote,389,True,0.8225526866067259,0.41344628679858125,0.4951594377290379,0.5219687056912895,0.5331350266535958,0.8081088358668624,0.1689687912681658,-0.15848752474588548,-0.022012544199318702,-0.029711970229222655,-0.05219062002100239,-0.025713925195736242,-0.19868076149738845,-0.29557876887207674,-0.10571609663934074,-0.30058398091543637,-0.33787373779835445,-0.263914738723668,c1 better,c1 better
