dataset,model,perturbation,cached,seconds,mean_jaccard,mean_retention
nsl_kdd_v2,rf_5class_cw,gaussian,True,1.0,0.7128940226440227,0.8256000000000001
nsl_kdd_v2,rf_5class_cw,fgsm,True,0.8,0.6965447885447885,0.8146000000000001
nsl_kdd_v2,rf_5class_cw,pgd,True,0.8,0.7235001665001666,0.8331000000000002
nsl_kdd_v2,xgb_5class_cw,gaussian,True,0.8,0.7027232767232767,0.8192000000000002
nsl_kdd_v2,xgb_5class_cw,fgsm,True,0.7,0.6871541791541791,0.8069000000000001
nsl_kdd_v2,xgb_5class_cw,pgd,True,0.9,0.6953200133200134,0.8131000000000002
nsl_kdd_v2,dnn_5class_cw,gaussian,True,1.8,0.6142803862803863,0.7509000000000001
nsl_kdd_v2,dnn_5class_cw,fgsm,True,0.8,0.597094802256567,0.7369
nsl_kdd_v2,dnn_5class_cw,pgd,True,1.4,0.601407758907759,0.7407999999999999
nsl_kdd_v2,rf_5class_smote,gaussian,True,1.7,0.6001793010910658,0.7415999999999999
nsl_kdd_v2,rf_5class_smote,fgsm,True,1.0,0.5620966337583986,0.7111
nsl_kdd_v2,rf_5class_smote,pgd,True,0.9,0.5850059940059942,0.7287
nsl_kdd_v2,xgb_5class_smote,gaussian,True,0.6,0.6408423047540693,0.7732
nsl_kdd_v2,xgb_5class_smote,fgsm,True,0.9,0.6218639693639694,0.7594000000000001
nsl_kdd_v2,xgb_5class_smote,pgd,True,0.7,0.6335643523143523,0.7687
nsl_kdd_v2,dnn_5class_smote,gaussian,True,0.9,0.6085954600954601,0.7452000000000001
nsl_kdd_v2,dnn_5class_smote,fgsm,True,0.8,0.6052681256651845,0.7424000000000001
nsl_kdd_v2,dnn_5class_smote,pgd,True,1.0,0.6087042483660131,0.7449000000000001
unsw_nb15_v2,rf_5class_cw,gaussian,True,1.8,0.5116685455067809,0.6587999999999999
unsw_nb15_v2,rf_5class_cw,fgsm,True,1.2,0.48216732777026894,0.6306
unsw_nb15_v2,rf_5class_cw,pgd,True,1.0,0.5180634267693092,0.6634
unsw_nb15_v2,xgb_5class_cw,gaussian,True,0.6,0.5133203267320914,0.6677000000000001
unsw_nb15_v2,xgb_5class_cw,fgsm,True,0.7,0.491140300875595,0.6476999999999999
unsw_nb15_v2,xgb_5class_cw,pgd,True,0.8,0.5145380452880453,0.6694
unsw_nb15_v2,dnn_5class_cw,gaussian,True,1.3,0.6183911725529372,0.7552000000000001
unsw_nb15_v2,dnn_5class_cw,fgsm,True,1.0,0.5668449883449883,0.713
unsw_nb15_v2,dnn_5class_cw,pgd,True,0.9,0.5977106667841962,0.7383
unsw_nb15_v2,rf_5class_smote,gaussian,True,0.9,0.5241151250710074,0.6738999999999999
unsw_nb15_v2,rf_5class_smote,fgsm,True,1.2,0.5097756704080233,0.6622
unsw_nb15_v2,rf_5class_smote,pgd,True,0.9,0.537334547805136,0.6854
unsw_nb15_v2,xgb_5class_smote,gaussian,True,0.9,0.4922650633680046,0.6476000000000001
unsw_nb15_v2,xgb_5class_smote,fgsm,True,0.7,0.4675855957767723,0.6263999999999998
unsw_nb15_v2,xgb_5class_smote,pgd,True,0.9,0.4848666235725059,0.6407999999999999
unsw_nb15_v2,dnn_5class_smote,gaussian,True,0.9,0.5732878510378511,0.7165999999999999
unsw_nb15_v2,dnn_5class_smote,fgsm,True,0.9,0.5509273275743863,0.6979
unsw_nb15_v2,dnn_5class_smote,pgd,True,0.9,0.5685513897866838,0.7123999999999999
cic_ids2017_v2,rf_5class_cw,gaussian,True,1.2,0.3551385039109497,0.49989999999999996
cic_ids2017_v2,rf_5class_cw,fgsm,True,0.9,0.30858409134724923,0.44770000000000004
cic_ids2017_v2,rf_5class_cw,pgd,True,1.0,0.33131942584419355,0.4743
cic_ids2017_v2,xgb_5class_cw,gaussian,True,0.8,0.5866093073593073,0.7316999999999999
cic_ids2017_v2,xgb_5class_cw,fgsm,True,0.7,0.5829163336663337,0.7288
cic_ids2017_v2,xgb_5class_cw,pgd,True,0.8,0.5764625374625375,0.7236
cic_ids2017_v2,dnn_5class_cw,gaussian,True,0.7,0.6771232101232101,0.793
cic_ids2017_v2,dnn_5class_cw,fgsm,True,0.9,0.6328597725803609,0.7563000000000001
cic_ids2017_v2,dnn_5class_cw,pgd,True,0.9,0.6554543838514427,0.7747
cic_ids2017_v2,rf_5class_smote,gaussian,True,0.9,0.3950827081415316,0.5519
cic_ids2017_v2,rf_5class_smote,fgsm,True,0.9,0.357694212650095,0.5121
cic_ids2017_v2,rf_5class_smote,pgd,True,0.7,0.3731828971681913,0.5278
cic_ids2017_v2,xgb_5class_smote,gaussian,True,1.3,0.5150906593406592,0.6719999999999999
cic_ids2017_v2,xgb_5class_smote,fgsm,True,0.7,0.48535346026522497,0.6457999999999999
cic_ids2017_v2,xgb_5class_smote,pgd,True,0.7,0.489267982017982,0.6497
cic_ids2017_v2,dnn_5class_smote,gaussian,True,0.6,0.5136760608672373,0.6625999999999999
cic_ids2017_v2,dnn_5class_smote,fgsm,True,1.1,0.493011976585506,0.6436000000000001
cic_ids2017_v2,dnn_5class_smote,pgd,True,0.9,0.5057550260197319,0.6563
