Pair,Class,FA,Sign,RankCorr,n
RF ↔ XGB,Normal,0.3408,0.908,0.054,1166
RF ↔ XGB,DoS,0.43,0.9062,-0.0103,129
RF ↔ XGB,Probe,0.4001,0.814,0.203,132
RF ↔ XGB,R2L,0.4045,0.9053,0.0873,560
RF ↔ XGB,U2R,0.3904,0.9736,0.1631,13
RF ↔ DNN,Normal,0.3241,0.9501,0.0562,1166
RF ↔ DNN,DoS,0.2152,0.7908,-0.3213,129
RF ↔ DNN,Probe,0.3309,0.9153,-0.0266,132
RF ↔ DNN,R2L,0.2813,0.879,-0.1777,560
RF ↔ DNN,U2R,0.2685,1.0,-0.1657,13
XGB ↔ DNN,Normal,0.252,0.8788,-0.1331,1166
XGB ↔ DNN,DoS,0.207,0.8489,-0.3656,129
XGB ↔ DNN,Probe,0.2928,0.7385,-0.0359,132
XGB ↔ DNN,R2L,0.2577,0.7852,-0.2765,560
XGB ↔ DNN,U2R,0.3159,0.9872,-0.0402,13
