Model,alpha,threshold,empirical_coverage,mean_SCTS,median_SCTS
rf_binary_cw,0.05,0.6966966966966968,0.9536114962813563,75.00045776367188,75.28690338134766
rf_binary_cw,0.1,0.5372340425531915,0.9009832345896887,73.04146575927734,75.20270538330078
rf_binary_cw,0.2,0.27263045793397234,0.8062523635446868,61.70768356323242,73.63372802734375
xgb_binary_cw,0.05,0.7021276950836182,0.9544938862977436,64.30265045166016,63.258201599121094
xgb_binary_cw,0.1,0.4753788113594055,0.9087356611622337,61.60282516479492,62.99604797363281
xgb_binary_cw,0.2,0.2686648368835449,0.8375772091264339,55.06399917602539,62.99604797363281
dnn_binary_cw,0.05,0.6800000071525574,0.9524769948317157,75.93283081054688,77.25202941894531
dnn_binary_cw,0.1,0.5290610790252686,0.9125803605193495,72.94734954833984,75.39474487304688
dnn_binary_cw,0.2,0.31662267446517944,0.8117988150762637,62.188514709472656,75.39474487304688
rf_5class_smote,0.05,0.8204793557114897,0.9505861590823144,64.27635955810547,64.2948989868164
rf_5class_smote,0.1,0.7053298705918092,0.8986512038320937,62.3046875,62.497703552246094
rf_5class_smote,0.2,0.5617050277020255,0.7991302155552754,56.99003601074219,60.03019332885742
xgb_5class_smote,0.05,0.738711953163147,0.9509012983738813,59.755550384521484,58.59294509887695
xgb_5class_smote,0.1,0.6541579961776733,0.8977688138157065,57.866058349609375,57.04886245727539
xgb_5class_smote,0.2,0.5516766309738159,0.8099710071851759,52.516014099121094,54.890663146972656
dnn_5class_smote,0.05,0.6945945620536804,0.945480902558931,63.43022537231445,62.06683349609375
dnn_5class_smote,0.1,0.6334806680679321,0.8941762258918442,61.082218170166016,59.67156982421875
dnn_5class_smote,0.2,0.5366500616073608,0.7958527669229799,54.36674880981445,55.67802810668945
