Model,TrueClass,n,mean_SCTS,mean_c1,mean_c2,mean_c3
rf_binary_cw,Normal,116,77.31470489501953,0.9677088260650635,0.509702742099762,0.9677020907402039
rf_binary_cw,Attack,99,80.33049011230469,0.9776003956794739,0.5567756295204163,0.9775956273078918
xgb_binary_cw,Normal,116,68.7668685913086,0.975242018699646,0.35508984327316284,0.975242018699646
xgb_binary_cw,Attack,99,64.3133316040039,0.9810833930969238,0.2921609878540039,0.9810833930969238
dnn_binary_cw,Normal,291,78.64861297607422,0.9509868621826172,0.5535051822662354,0.9509868621826172
dnn_binary_cw,Attack,218,84.33136749267578,0.9799520373344421,0.6333972215652466,0.9799520373344421
rf_5class_smote,Normal,116,70.41403198242188,0.8692771792411804,0.482588529586792,0.8692640662193298
rf_5class_smote,DoS,15,67.31431579589844,0.8780735731124878,0.40531137585639954,0.8780612945556641
rf_5class_smote,Probe,15,64.14799499511719,0.8802674412727356,0.35260719060897827,0.8802554607391357
rf_5class_smote,R2L,56,70.64686584472656,0.8706179261207581,0.4822083115577698,0.8706051707267761
rf_5class_smote,U2R,13,64.00234985351562,0.8202261328697205,0.4077204465866089,0.8202083110809326
xgb_5class_smote,Normal,116,65.8255386352539,0.8605817556381226,0.403178334236145,0.8605817556381226
xgb_5class_smote,DoS,15,65.36274719238281,0.8664639592170715,0.3898657262325287,0.8664639592170715
xgb_5class_smote,Probe,15,65.41846466064453,0.8291095495223999,0.420573890209198,0.8291095495223999
xgb_5class_smote,R2L,56,65.89372253417969,0.8588290214538574,0.40335559844970703,0.8588290214538574
xgb_5class_smote,U2R,13,58.81836700439453,0.7890905141830444,0.3527754545211792,0.7890905141830444
dnn_5class_smote,Normal,291,72.8302993774414,0.8514489531517029,0.5597168207168579,0.8514489531517029
dnn_5class_smote,DoS,32,71.14508056640625,0.8035786151885986,0.5841736793518066,0.8035786151885986
dnn_5class_smote,Probe,33,70.79689025878906,0.8531765937805176,0.5222827196121216,0.8531765937805176
dnn_5class_smote,R2L,140,74.90387725830078,0.8550500869750977,0.6032800674438477,0.8550500869750977
dnn_5class_smote,U2R,13,62.329933166503906,0.8046915531158447,0.38762372732162476,0.8046916127204895
