Model,Perturbation,Jaccard@10,Lipschitz,F-Fidelity,n_samples
rf_binary_cw,gaussian,0.6143,0.1324,0.374,215
rf_binary_cw,fgsm,0.5963,0.1388,0.374,215
rf_binary_cw,pgd,0.6049,0.1622,0.374,215
xgb_binary_cw,gaussian,0.4139,5.9271,0.4157,215
xgb_binary_cw,fgsm,0.3881,6.779,0.4157,215
xgb_binary_cw,pgd,0.3814,7.871,0.4157,215
rf_5class_smote,gaussian,0.5484,0.242,0.4531,215
rf_5class_smote,fgsm,0.5147,0.2666,0.4531,215
rf_5class_smote,pgd,0.5271,0.3002,0.4531,215
xgb_5class_smote,gaussian,0.4956,7.0213,0.581,215
xgb_5class_smote,fgsm,0.4494,8.152,0.581,215
xgb_5class_smote,pgd,0.4708,9.7949,0.581,215
dnn_binary_cw,gaussian,0.6668,0.1335,0.6002,509
dnn_binary_cw,fgsm,0.665,0.1385,0.6002,509
dnn_binary_cw,pgd,0.6674,0.1524,0.6002,509
dnn_5class_smote,gaussian,0.7052,0.1492,0.5345,509
dnn_5class_smote,fgsm,0.635,0.2389,0.5345,509
dnn_5class_smote,pgd,0.6281,0.2921,0.5345,509
