Model,Class,n_calib,Brier pre,Brier dirichlet,Delta,Winner
rf_5class_smote,Normal,11200,0.1115,0.10413,-0.00736,dirichlet
rf_5class_smote,DoS,2453,0.05019,0.04583,-0.00436,dirichlet
rf_5class_smote,Probe,2498,0.03481,0.02674,-0.00807,dirichlet
rf_5class_smote,R2L,10665,0.15167,0.14431,-0.00736,dirichlet
rf_5class_smote,U2R,253,0.01301,0.00533,-0.00768,dirichlet
xgb_5class_smote,Normal,11200,0.10682,0.10457,-0.00225,dirichlet
xgb_5class_smote,DoS,2453,0.05211,0.04585,-0.00626,dirichlet
xgb_5class_smote,Probe,2498,0.03517,0.02727,-0.0079,dirichlet
xgb_5class_smote,R2L,10665,0.1535,0.14189,-0.01161,dirichlet
xgb_5class_smote,U2R,253,0.00863,0.00456,-0.00407,dirichlet
dnn_5class_smote,Normal,11200,0.12617,0.10943,-0.01674,dirichlet
dnn_5class_smote,DoS,2453,0.06262,0.04689,-0.01573,dirichlet
dnn_5class_smote,Probe,2498,0.04827,0.03214,-0.01614,dirichlet
dnn_5class_smote,R2L,10665,0.16736,0.14248,-0.02488,dirichlet
dnn_5class_smote,U2R,253,0.0299,0.00637,-0.02353,dirichlet
rf_5class_cw,Normal,11200,0.11073,0.10407,-0.00667,dirichlet
rf_5class_cw,DoS,2453,0.04881,0.04623,-0.00258,dirichlet
rf_5class_cw,Probe,2498,0.03306,0.02539,-0.00767,dirichlet
rf_5class_cw,R2L,10665,0.14717,0.14391,-0.00326,dirichlet
rf_5class_cw,U2R,253,0.0085,0.00495,-0.00355,dirichlet
xgb_5class_cw,Normal,11200,0.11233,0.1064,-0.00593,dirichlet
xgb_5class_cw,DoS,2453,0.05307,0.04648,-0.00659,dirichlet
xgb_5class_cw,Probe,2498,0.03897,0.02568,-0.01329,dirichlet
xgb_5class_cw,R2L,10665,0.15969,0.14638,-0.01331,dirichlet
xgb_5class_cw,U2R,253,0.0112,0.00469,-0.00651,dirichlet
dnn_5class_cw,Normal,11200,0.14461,0.11838,-0.02623,dirichlet
dnn_5class_cw,DoS,2453,0.06112,0.04644,-0.01468,dirichlet
dnn_5class_cw,Probe,2498,0.04936,0.03342,-0.01594,dirichlet
dnn_5class_cw,R2L,10665,0.1726,0.14778,-0.02482,dirichlet
dnn_5class_cw,U2R,253,0.0379,0.0066,-0.0313,dirichlet
